Deck,Count,Share,Score,Win_Percentage,Deck_links
Gallade ex Rampardos,21,0.18%,34 - 47 - 1,41.46%,/decks/gallade-ex-rampardos-a2?game=POCKET&format=standard&set=A3a
Greninja Silvally,21,0.18%,33 - 48 - 0,40.74%,/decks/greninja-a1-silvally-a3a?game=POCKET&format=standard&set=A3a
Silvally Dusk Mane Necrozma,20,0.17%,43 - 43 - 0,50.00%,/decks/silvally-a3a-dusk-mane-necrozma-p-a?game=POCKET&format=standard&set=A3a
Lucario Rampardos,20,0.17%,41 - 49 - 0,45.56%,/decks/lucario-rampardos-a2?game=POCKET&format=standard&set=A3a
Mewtwo ex Gardevoir,20,0.17%,21 - 44 - 0,32.31%,/decks/mewtwo-ex-gardevoir-a1?game=POCKET&format=standard&set=A3a
Darkrai ex Naganadel,19,0.16%,56 - 50 - 0,52.83%,/decks/darkrai-ex-a2-naganadel-a3a?game=POCKET&format=standard&set=A3a
Charizard ex Shiinotic,19,0.16%,55 - 49 - 2,51.89%,/decks/charizard-ex-a2b-shiinotic-a3a?game=POCKET&format=standard&set=A3a
Stoutland Giratina ex,19,0.16%,47 - 49 - 1,48.45%,/decks/stoutland-a3a-giratina-ex-a2b?game=POCKET&format=standard&set=A3a
Charizard ex Moltres ex,19,0.16%,29 - 55 - 1,34.12%,/decks/charizard-ex-moltres-ex-a1?game=POCKET&format=standard&set=A3a
Garchomp Stoutland,18,0.15%,48 - 46 - 0,51.06%,/decks/garchomp-a2-stoutland-a3a?game=POCKET&format=standard&set=A3a
Gengar Tapu Lele,18,0.15%,39 - 42 - 1,47.56%,/decks/gengar-a2a-tapu-lele-a3?game=POCKET&format=standard&set=A3a
Dialga ex Arceus ex,18,0.15%,40 - 46 - 1,45.98%,/decks/dialga-ex-a2-arceus-ex-a2a?game=POCKET&format=standard&set=A3a
Incineroar ex,18,0.15%,37 - 43 - 1,45.68%,/decks/incineroar-ex-a3?game=POCKET&format=standard&set=A3a
Gengar ex Gengar,18,0.15%,29 - 42 - 0,40.85%,/decks/gengar-ex-a1-gengar-a2a?game=POCKET&format=standard&set=A3a
Lunala ex Giratina ex,18,0.15%,27 - 49 - 1,35.06%,/decks/lunala-ex-a3-giratina-ex-a2b?game=POCKET&format=standard&set=A3a
Silvally,17,0.14%,34 - 46 - 3,40.96%,/decks/silvally-a3a?game=POCKET&format=standard&set=A3a
Incineroar ex Silvally,17,0.14%,34 - 51 - 2,39.08%,/decks/incineroar-ex-a3-silvally-a3a?game=POCKET&format=standard&set=A3a
Incineroar ex Greninja,17,0.14%,14 - 32 - 2,29.17%,/decks/incineroar-ex-a3-greninja-a1?game=POCKET&format=standard&set=A3a
Magnezone Pikachu ex,16,0.14%,35 - 38 - 1,47.30%,/decks/magnezone-a2-pikachu-ex-a2b?game=POCKET&format=standard&set=A3a
Wishiwashi ex Wishiwashi,16,0.14%,37 - 43 - 0,46.25%,/decks/wishiwashi-ex-wishiwashi-a3?game=POCKET&format=standard&set=A3a
Tapu Koko ex Arceus ex,15,0.13%,46 - 43 - 1,51.11%,/decks/tapu-koko-ex-a3a-arceus-ex-a2a?game=POCKET&format=standard&set=A3a
Darkrai ex Guzzlord ex,15,0.13%,36 - 37 - 1,48.65%,/decks/darkrai-ex-a2-guzzlord-ex-a3a?game=POCKET&format=standard&set=A3a
Tapu Koko ex Zeraora,15,0.13%,36 - 36 - 2,48.65%,/decks/tapu-koko-ex-zeraora-a3a?game=POCKET&format=standard&set=A3a
Pikachu ex Tapu Koko ex,15,0.13%,31 - 39 - 0,44.29%,/decks/pikachu-ex-a2b-tapu-koko-ex-a3a?game=POCKET&format=standard&set=A3a
Meowscarada Decidueye,15,0.13%,27 - 41 - 0,39.71%,/decks/meowscarada-a2b-decidueye-a3a?game=POCKET&format=standard&set=A3a
Naganadel Darkrai ex,14,0.12%,25 - 25 - 0,50.00%,/decks/naganadel-a3a-darkrai-ex-a2?game=POCKET&format=standard&set=A3a
Stoutland Rampardos,14,0.12%,31 - 41 - 0,43.06%,/decks/stoutland-a3a-rampardos-a2?game=POCKET&format=standard&set=A3a
Magnezone Silvally,14,0.12%,27 - 41 - 0,39.71%,/decks/magnezone-a2-silvally-a3a?game=POCKET&format=standard&set=A3a
Guzzlord ex,14,0.12%,18 - 29 - 1,37.50%,/decks/guzzlord-ex-a3a?game=POCKET&format=standard&set=A3a
Magnezone Giratina ex,13,0.11%,39 - 26 - 2,58.21%,/decks/magnezone-a2-giratina-ex-a2b?game=POCKET&format=standard&set=A3a
Flareon ex Turtonator,13,0.11%,38 - 33 - 1,52.78%,/decks/flareon-ex-a3b-turtonator-a3?game=POCKET&format=standard&set=A3a
Dialga ex Rayquaza ex,13,0.11%,30 - 29 - 0,50.85%,/decks/dialga-ex-a2-rayquaza-ex-p-a?game=POCKET&format=standard&set=A3a
Giratina ex Dragonite,13,0.11%,36 - 38 - 0,48.65%,/decks/giratina-ex-a2b-dragonite-a1?game=POCKET&format=standard&set=A3a
Solgaleo ex,13,0.11%,31 - 33 - 1,47.69%,/decks/solgaleo-ex-a3?game=POCKET&format=standard&set=A3a
Rampardos Silvally,13,0.11%,23 - 36 - 0,38.98%,/decks/rampardos-a2-silvally-a3a?game=POCKET&format=standard&set=A3a
Gyarados ex Manaphy,12,0.10%,23 - 31 - 0,42.59%,/decks/gyarados-ex-a1a-manaphy-a2?game=POCKET&format=standard&set=A3a
Wugtrio ex Silvally,12,0.10%,18 - 36 - 0,33.33%,/decks/wugtrio-ex-a2b-silvally-a3a?game=POCKET&format=standard&set=A3a
Sylveon ex Eevee ex,11,0.09%,25 - 22 - 0,53.19%,/decks/sylveon-ex-eevee-ex-a3b?game=POCKET&format=standard&set=A3a
Incineroar ex Magcargo,11,0.09%,26 - 29 - 0,47.27%,/decks/incineroar-ex-a3-magcargo-a2?game=POCKET&format=standard&set=A3a
Silvally Turtonator,11,0.09%,25 - 28 - 1,46.30%,/decks/silvally-a3a-turtonator-a3?game=POCKET&format=standard&set=A3a
Gengar Giratina ex,11,0.09%,22 - 30 - 1,41.51%,/decks/gengar-a1-giratina-ex-a2b?game=POCKET&format=standard&set=A3a
Buzzwole ex Kartana,11,0.09%,19 - 26 - 1,41.30%,/decks/buzzwole-ex-kartana-a3a?game=POCKET&format=standard&set=A3a
Dragonite Giratina ex,11,0.09%,14 - 28 - 0,33.33%,/decks/dragonite-a1-giratina-ex-a2b?game=POCKET&format=standard&set=A3a
Paldean Clodsire ex Guzzlord ex,10,0.09%,20 - 22 - 0,47.62%,/decks/paldean-clodsire-ex-a2b-guzzlord-ex-a3a?game=POCKET&format=standard&set=A3a
Turtonator Blacephalon,10,0.09%,22 - 24 - 2,45.83%,/decks/turtonator-a3-blacephalon-a3a?game=POCKET&format=standard&set=A3a
Aerodactyl ex Silvally,10,0.09%,22 - 27 - 0,44.90%,/decks/aerodactyl-ex-a1a-silvally-a3a?game=POCKET&format=standard&set=A3a
Oricorio,10,0.09%,14 - 20 - 0,41.18%,/decks/oricorio-a3?game=POCKET&format=standard&set=A3a
Solgaleo ex Snorlax,10,0.09%,15 - 25 - 0,37.50%,/decks/solgaleo-ex-a3-snorlax-a2a?game=POCKET&format=standard&set=A3a
Alolan Raichu ex Tapu Koko ex,10,0.09%,15 - 25 - 2,35.71%,/decks/alolan-raichu-ex-a3-tapu-koko-ex-a3a?game=POCKET&format=standard&set=A3a
Alakazam Stoutland,10,0.09%,15 - 27 - 0,35.71%,/decks/alakazam-a1-stoutland-a3a?game=POCKET&format=standard&set=A3a
Paldean Clodsire ex Nihilego,10,0.09%,10 - 21 - 1,31.25%,/decks/paldean-clodsire-ex-a2b-nihilego-a3a?game=POCKET&format=standard&set=A3a
Charizard ex Blacephalon,10,0.09%,8 - 21 - 0,27.59%,/decks/charizard-ex-a2b-blacephalon-a3a?game=POCKET&format=standard&set=A3a
Incineroar ex Salazzle,10,0.09%,11 - 32 - 0,25.58%,/decks/incineroar-ex-salazzle-a3?game=POCKET&format=standard&set=A3a
Tapu Koko ex Magnezone,10,0.09%,5 - 22 - 0,18.52%,/decks/tapu-koko-ex-a3a-magnezone-a2?game=POCKET&format=standard&set=A3a
Darkrai ex Giratina ex,9,0.08%,23 - 21 - 1,51.11%,/decks/darkrai-ex-a2-giratina-ex-a2b?game=POCKET&format=standard&set=A3a
Aerodactyl ex Rampardos,9,0.08%,22 - 22 - 0,50.00%,/decks/aerodactyl-ex-a1a-rampardos-a2?game=POCKET&format=standard&set=A3a
Garchomp Shiinotic,9,0.08%,17 - 17 - 1,48.57%,/decks/garchomp-a2-shiinotic-a3a?game=POCKET&format=standard&set=A3a
Gengar,9,0.08%,21 - 23 - 0,47.73%,/decks/gengar-a2a?game=POCKET&format=standard&set=A3a
Arceus ex Oricorio,9,0.08%,19 - 24 - 0,44.19%,/decks/arceus-ex-a2a-oricorio-a3?game=POCKET&format=standard&set=A3a
Infernape ex Silvally,9,0.08%,20 - 24 - 2,43.48%,/decks/infernape-ex-a2-silvally-a3a?game=POCKET&format=standard&set=A3a
Greninja Giratina ex,9,0.08%,17 - 24 - 0,41.46%,/decks/greninja-a1-giratina-ex-a2b?game=POCKET&format=standard&set=A3a
Infernape ex Stoutland,9,0.08%,10 - 16 - 0,38.46%,/decks/infernape-ex-a2-stoutland-a3a?game=POCKET&format=standard&set=A3a
Infernape ex Blacephalon,9,0.08%,11 - 22 - 0,33.33%,/decks/infernape-ex-a2-blacephalon-a3a?game=POCKET&format=standard&set=A3a
Paldean Clodsire ex Naganadel,9,0.08%,6 - 24 - 1,19.35%,/decks/paldean-clodsire-ex-a2b-naganadel-a3a?game=POCKET&format=standard&set=A3a
Charizard ex Heatmor,8,0.07%,31 - 23 - 0,57.41%,/decks/charizard-ex-a2b-heatmor-a1?game=POCKET&format=standard&set=A3a
Togekiss Shiinotic,8,0.07%,20 - 19 - 0,51.28%,/decks/togekiss-a2-shiinotic-a3a?game=POCKET&format=standard&set=A3a
Crabominable ex Silvally,8,0.07%,22 - 19 - 3,50.00%,/decks/crabominable-ex-a3-silvally-a3a?game=POCKET&format=standard&set=A3a
Lunala ex Mewtwo ex,8,0.07%,19 - 19 - 0,50.00%,/decks/lunala-ex-a3-mewtwo-ex-a1?game=POCKET&format=standard&set=A3a
Weezing Darkrai ex,8,0.07%,18 - 19 - 0,48.65%,/decks/weezing-a1-darkrai-ex-a2?game=POCKET&format=standard&set=A3a
Alolan Raichu ex Oricorio,8,0.07%,14 - 19 - 2,40.00%,/decks/alolan-raichu-ex-oricorio-a3?game=POCKET&format=standard&set=A3a
Banette Stoutland,8,0.07%,13 - 20 - 0,39.39%,/decks/banette-a3-stoutland-a3a?game=POCKET&format=standard&set=A3a
Darkrai ex Arceus ex,8,0.07%,13 - 20 - 0,39.39%,/decks/darkrai-ex-a2-arceus-ex-a2a?game=POCKET&format=standard&set=A3a
Beedrill ex Meowscarada,8,0.07%,12 - 19 - 0,38.71%,/decks/beedrill-ex-meowscarada-a2b?game=POCKET&format=standard&set=A3a
Weavile ex Darkrai ex,8,0.07%,16 - 25 - 1,38.10%,/decks/weavile-ex-darkrai-ex-a2?game=POCKET&format=standard&set=A3a
Luxray Zeraora,8,0.07%,11 - 18 - 0,37.93%,/decks/luxray-a2-zeraora-a3a?game=POCKET&format=standard&set=A3a
Lycanroc ex Rampardos,8,0.07%,11 - 19 - 0,36.67%,/decks/lycanroc-ex-a3a-rampardos-a2?game=POCKET&format=standard&set=A3a
Stoutland Tapu Lele,8,0.07%,10 - 20 - 0,33.33%,/decks/stoutland-a3a-tapu-lele-a3?game=POCKET&format=standard&set=A3a
Togekiss,8,0.07%,9 - 23 - 0,28.13%,/decks/togekiss-a2?game=POCKET&format=standard&set=A3a
Decidueye ex Meowscarada,8,0.07%,4 - 23 - 0,14.81%,/decks/decidueye-ex-a3-meowscarada-a2b?game=POCKET&format=standard&set=A3a
Lycanroc ex Passimian ex,7,0.06%,20 - 21 - 0,48.78%,/decks/lycanroc-ex-a3a-passimian-ex-a3?game=POCKET&format=standard&set=A3a
Guzzlord ex Dusknoir,7,0.06%,12 - 13 - 1,46.15%,/decks/guzzlord-ex-a3a-dusknoir-a2?game=POCKET&format=standard&set=A3a
Charizard ex Infernape ex,7,0.06%,14 - 17 - 0,45.16%,/decks/charizard-ex-a2b-infernape-ex-a2?game=POCKET&format=standard&set=A3a
Decidueye ex,7,0.06%,10 - 15 - 0,40.00%,/decks/decidueye-ex-a3?game=POCKET&format=standard&set=A3a
Incineroar ex Shiinotic,7,0.06%,12 - 18 - 0,40.00%,/decks/incineroar-ex-a3-shiinotic-a3a?game=POCKET&format=standard&set=A3a
Arceus ex Carnivine,7,0.06%,13 - 21 - 0,38.24%,/decks/arceus-ex-carnivine-a2a?game=POCKET&format=standard&set=A3a
Decidueye ex Lurantis,7,0.06%,10 - 17 - 0,37.04%,/decks/decidueye-ex-lurantis-a3?game=POCKET&format=standard&set=A3a
Silvally Ultra Necrozma ex,7,0.06%,9 - 17 - 0,34.62%,/decks/silvally-a3a-ultra-necrozma-ex-p-a?game=POCKET&format=standard&set=A3a
Exeggutor ex Celebi ex,7,0.06%,9 - 20 - 0,31.03%,/decks/exeggutor-ex-a1-celebi-ex-a1a?game=POCKET&format=standard&set=A3a
Salazzle Nihilego,7,0.06%,3 - 16 - 0,15.79%,/decks/salazzle-a3-nihilego-a3a?game=POCKET&format=standard&set=A3a
Turtonator,6,0.05%,15 - 12 - 0,55.56%,/decks/turtonator-a3?game=POCKET&format=standard&set=A3a
Gallade ex Hitmonlee,6,0.05%,15 - 16 - 0,48.39%,/decks/gallade-ex-a2-hitmonlee-a1?game=POCKET&format=standard&set=A3a
Gallade ex Lucario,6,0.05%,14 - 17 - 0,45.16%,/decks/gallade-ex-lucario-a2?game=POCKET&format=standard&set=A3a
Ninetales Rapidash,6,0.05%,11 - 14 - 0,44.00%,/decks/ninetales-rapidash-a1?game=POCKET&format=standard&set=A3a
Incineroar ex Infernape ex,6,0.05%,9 - 14 - 0,39.13%,/decks/incineroar-ex-a3-infernape-ex-a2?game=POCKET&format=standard&set=A3a
Tapu Koko ex Alolan Raichu ex,6,0.05%,7 - 12 - 0,36.84%,/decks/tapu-koko-ex-a3a-alolan-raichu-ex-a3?game=POCKET&format=standard&set=A3a
Gengar ex Giratina ex,6,0.05%,8 - 16 - 1,32.00%,/decks/gengar-ex-a1-giratina-ex-a2b?game=POCKET&format=standard&set=A3a
Darkrai ex Greninja,6,0.05%,7 - 15 - 0,31.82%,/decks/darkrai-ex-a2-greninja-a1?game=POCKET&format=standard&set=A3a
Solgaleo ex Dialga ex,6,0.05%,7 - 16 - 0,30.43%,/decks/solgaleo-ex-a3-dialga-ex-a2?game=POCKET&format=standard&set=A3a
Aerodactyl ex Stoutland,6,0.05%,6 - 15 - 0,28.57%,/decks/aerodactyl-ex-a1a-stoutland-a3a?game=POCKET&format=standard&set=A3a
Gengar Stoutland,6,0.05%,4 - 12 - 0,25.00%,/decks/gengar-a1-stoutland-a3a?game=POCKET&format=standard&set=A3a
Magnezone Zeraora,5,0.04%,16 - 14 - 0,53.33%,/decks/magnezone-a2-zeraora-a3a?game=POCKET&format=standard&set=A3a
Slurpuff Alcremie,5,0.04%,13 - 13 - 0,50.00%,/decks/slurpuff-alcremie-a3b?game=POCKET&format=standard&set=A3a
Alolan Raichu ex Zeraora,5,0.04%,12 - 12 - 1,48.00%,/decks/alolan-raichu-ex-a3-zeraora-a3a?game=POCKET&format=standard&set=A3a
Gallade ex Silvally,5,0.04%,11 - 13 - 0,45.83%,/decks/gallade-ex-a2-silvally-a3a?game=POCKET&format=standard&set=A3a
Silvally Guzzlord ex,5,0.04%,10 - 12 - 0,45.45%,/decks/silvally-guzzlord-ex-a3a?game=POCKET&format=standard&set=A3a
Buzzwole ex Nihilego,5,0.04%,13 - 16 - 1,43.33%,/decks/buzzwole-ex-nihilego-a3a?game=POCKET&format=standard&set=A3a
Buzzwole ex Guzzlord ex,5,0.04%,12 - 15 - 1,42.86%,/decks/buzzwole-ex-guzzlord-ex-a3a?game=POCKET&format=standard&set=A3a
Leafeon ex Buzzwole ex,5,0.04%,9 - 13 - 0,40.91%,/decks/leafeon-ex-a2a-buzzwole-ex-a3a?game=POCKET&format=standard&set=A3a
Alolan Dugtrio ex Silvally,5,0.04%,6 - 10 - 0,37.50%,/decks/alolan-dugtrio-ex-silvally-a3a?game=POCKET&format=standard&set=A3a
Rayquaza ex Dialga ex,5,0.04%,6 - 11 - 0,35.29%,/decks/rayquaza-ex-p-a-dialga-ex-a2?game=POCKET&format=standard&set=A3a
Infernape ex Arceus ex,5,0.04%,8 - 15 - 0,34.78%,/decks/infernape-ex-a2-arceus-ex-a2a?game=POCKET&format=standard&set=A3a
Alolan Raichu ex Silvally,5,0.04%,5 - 10 - 0,33.33%,/decks/alolan-raichu-ex-a3-silvally-a3a?game=POCKET&format=standard&set=A3a
Darkrai ex Crobat,5,0.04%,7 - 14 - 0,33.33%,/decks/darkrai-ex-a2-crobat-a2a?game=POCKET&format=standard&set=A3a
Beedrill ex Beedrill,5,0.04%,5 - 13 - 0,27.78%,/decks/beedrill-ex-a2b-beedrill-a1?game=POCKET&format=standard&set=A3a
Paldean Clodsire ex Grafaiai,5,0.04%,4 - 14 - 0,22.22%,/decks/paldean-clodsire-ex-grafaiai-a2b?game=POCKET&format=standard&set=A3a
Tapu Koko ex Luxray,4,0.03%,12 - 8 - 0,60.00%,/decks/tapu-koko-ex-a3a-luxray-a2?game=POCKET&format=standard&set=A3a
Blastoise ex Blastoise,4,0.03%,13 - 13 - 0,50.00%,/decks/blastoise-ex-blastoise-a1?game=POCKET&format=standard&set=A3a
Salazzle Blacephalon,4,0.03%,10 - 10 - 0,50.00%,/decks/salazzle-a3-blacephalon-a3a?game=POCKET&format=standard&set=A3a
Paldean Clodsire ex Weezing,4,0.03%,10 - 9 - 1,50.00%,/decks/paldean-clodsire-ex-a2b-weezing-a1?game=POCKET&format=standard&set=A3a
Tsareena,4,0.03%,10 - 10 - 0,50.00%,/decks/tsareena-a3?game=POCKET&format=standard&set=A3a
Silvally Palkia ex,4,0.03%,13 - 13 - 0,50.00%,/decks/silvally-a3a-palkia-ex-a2?game=POCKET&format=standard&set=A3a
Giratina ex Snorlax,4,0.03%,10 - 11 - 0,47.62%,/decks/giratina-ex-a2b-snorlax-a2a?game=POCKET&format=standard&set=A3a
Arceus ex Passimian ex,4,0.03%,10 - 11 - 0,47.62%,/decks/arceus-ex-a2a-passimian-ex-a3?game=POCKET&format=standard&set=A3a
Buzzwole ex,4,0.03%,7 - 7 - 1,46.67%,/decks/buzzwole-ex-a3a?game=POCKET&format=standard&set=A3a
Alolan Raichu ex Stoutland,4,0.03%,10 - 10 - 2,45.45%,/decks/alolan-raichu-ex-a3-stoutland-a3a?game=POCKET&format=standard&set=A3a
Charizard ex Moltres ex,4,0.03%,9 - 11 - 0,45.00%,/decks/charizard-ex-a2b-moltres-ex-a1?game=POCKET&format=standard&set=A3a
Silvally Tapu Koko ex,4,0.03%,8 - 9 - 1,44.44%,/decks/silvally-tapu-koko-ex-a3a?game=POCKET&format=standard&set=A3a
Solgaleo ex Kangaskhan,4,0.03%,9 - 9 - 3,42.86%,/decks/solgaleo-ex-a3-kangaskhan-a1?game=POCKET&format=standard&set=A3a
Solgaleo ex Alolan Dugtrio ex,4,0.03%,8 - 11 - 0,42.11%,/decks/solgaleo-ex-a3-alolan-dugtrio-ex-a3a?game=POCKET&format=standard&set=A3a
Blastoise ex,4,0.03%,7 - 10 - 0,41.18%,/decks/blastoise-ex-a1?game=POCKET&format=standard&set=A3a
Starmie ex Palkia ex,4,0.03%,7 - 10 - 0,41.18%,/decks/starmie-ex-a1-palkia-ex-a2?game=POCKET&format=standard&set=A3a
Ultra Necrozma ex Celesteela,4,0.03%,7 - 10 - 0,41.18%,/decks/ultra-necrozma-ex-p-a-celesteela-a3a?game=POCKET&format=standard&set=A3a
Gengar,4,0.03%,9 - 13 - 0,40.91%,/decks/gengar-a1?game=POCKET&format=standard&set=A3a
Solgaleo ex Alolan Dugtrio,4,0.03%,7 - 11 - 0,38.89%,/decks/solgaleo-ex-alolan-dugtrio-a3?game=POCKET&format=standard&set=A3a
