Deck,Count,Share,Score,Win_Percentage,Deck_links
Farfetch'd Hitmonlee,111,0.22%,252 - 265 - 3,48.46%,/decks/farfetchd-hitmonlee-a1?game=POCKET&format=standard&set=A1a
Serperior Exeggutor ex,111,0.22%,232 - 270 - 4,45.85%,/decks/serperior-a1a-exeggutor-ex-a1?game=POCKET&format=standard&set=A1a
Gyarados ex Druddigon,110,0.22%,257 - 265 - 3,48.95%,/decks/gyarados-ex-druddigon-a1a?game=POCKET&format=standard&set=A1a
Venusaur ex Exeggutor ex,110,0.22%,252 - 279 - 4,47.10%,/decks/venusaur-ex-exeggutor-ex-a1?game=POCKET&format=standard&set=A1a
Golem,101,0.20%,185 - 258 - 4,41.39%,/decks/golem-a1a?game=POCKET&format=standard&set=A1a
Marowak ex Aerodactyl ex,100,0.20%,245 - 256 - 3,48.61%,/decks/marowak-ex-a1-aerodactyl-ex-a1a?game=POCKET&format=standard&set=A1a
Serperior Exeggutor,97,0.19%,217 - 233 - 5,47.69%,/decks/serperior-exeggutor-a1a?game=POCKET&format=standard&set=A1a
Pidgeot ex Exeggutor ex,95,0.19%,162 - 215 - 4,42.52%,/decks/pidgeot-ex-a1a-exeggutor-ex-a1?game=POCKET&format=standard&set=A1a
Dragonite Mew ex,90,0.18%,140 - 230 - 4,37.43%,/decks/dragonite-a1-mew-ex-a1a?game=POCKET&format=standard&set=A1a
Aerodactyl ex Primeape,89,0.18%,204 - 211 - 4,48.69%,/decks/aerodactyl-ex-a1a-primeape-a1?game=POCKET&format=standard&set=A1a
Gyarados ex Chatot,88,0.18%,174 - 221 - 2,43.83%,/decks/gyarados-ex-chatot-a1a?game=POCKET&format=standard&set=A1a
Pidgeot ex Hitmonlee,87,0.17%,184 - 195 - 3,48.17%,/decks/pidgeot-ex-a1a-hitmonlee-a1?game=POCKET&format=standard&set=A1a
Pikachu ex,87,0.17%,160 - 212 - 2,42.78%,/decks/pikachu-ex-a1?game=POCKET&format=standard&set=A1a
Greninja Druddigon,82,0.16%,183 - 199 - 2,47.66%,/decks/greninja-a1-druddigon-a1a?game=POCKET&format=standard&set=A1a
Mew ex Gardevoir,82,0.16%,161 - 216 - 0,42.71%,/decks/mew-ex-a1a-gardevoir-a1?game=POCKET&format=standard&set=A1a
Pidgeot ex Weezing,81,0.16%,184 - 185 - 2,49.60%,/decks/pidgeot-ex-a1a-weezing-a1?game=POCKET&format=standard&set=A1a
Melmetal Mew ex,80,0.16%,136 - 175 - 9,42.50%,/decks/melmetal-a1-mew-ex-a1a?game=POCKET&format=standard&set=A1a
Primeape Aerodactyl ex,75,0.15%,197 - 181 - 10,50.77%,/decks/primeape-aerodactyl-ex-a1a?game=POCKET&format=standard&set=A1a
Blastoise ex Articuno ex,74,0.15%,143 - 177 - 1,44.55%,/decks/blastoise-ex-articuno-ex-a1?game=POCKET&format=standard&set=A1a
Mew ex Alakazam,70,0.14%,101 - 170 - 4,36.73%,/decks/mew-ex-a1a-alakazam-a1?game=POCKET&format=standard&set=A1a
Greninja Flareon,69,0.14%,119 - 169 - 5,40.61%,/decks/greninja-flareon-a1?game=POCKET&format=standard&set=A1a
Exeggutor ex Exeggutor,67,0.13%,150 - 135 - 3,52.08%,/decks/exeggutor-ex-exeggutor-a1?game=POCKET&format=standard&set=A1a
Gengar ex Gengar,65,0.13%,124 - 152 - 3,44.44%,/decks/gengar-ex-gengar-a1?game=POCKET&format=standard&set=A1a
Serperior Celebi ex,65,0.13%,140 - 191 - 1,42.17%,/decks/serperior-celebi-ex-a1a?game=POCKET&format=standard&set=A1a
Gyarados ex Starmie ex,63,0.13%,91 - 140 - 4,38.72%,/decks/gyarados-ex-a1a-starmie-ex-a1?game=POCKET&format=standard&set=A1a
Exeggutor ex Victreebel,62,0.12%,117 - 134 - 2,46.25%,/decks/exeggutor-ex-victreebel-a1?game=POCKET&format=standard&set=A1a
Pidgeot ex Aerodactyl ex,62,0.12%,108 - 144 - 2,42.52%,/decks/pidgeot-ex-aerodactyl-ex-a1a?game=POCKET&format=standard&set=A1a
Alakazam Beheeyem,61,0.12%,84 - 149 - 3,35.59%,/decks/alakazam-a1-beheeyem-a1a?game=POCKET&format=standard&set=A1a
Blastoise ex Druddigon,60,0.12%,117 - 149 - 0,43.98%,/decks/blastoise-ex-a1-druddigon-a1a?game=POCKET&format=standard&set=A1a
Articuno ex Aerodactyl ex,58,0.12%,170 - 148 - 0,53.46%,/decks/articuno-ex-a1-aerodactyl-ex-a1a?game=POCKET&format=standard&set=A1a
Celebi ex Exeggutor ex,58,0.12%,103 - 142 - 2,41.70%,/decks/celebi-ex-a1a-exeggutor-ex-a1?game=POCKET&format=standard&set=A1a
Alakazam Weezing,55,0.11%,62 - 123 - 1,33.33%,/decks/alakazam-weezing-a1?game=POCKET&format=standard&set=A1a
Gyarados ex Mew ex,54,0.11%,102 - 135 - 6,41.98%,/decks/gyarados-ex-mew-ex-a1a?game=POCKET&format=standard&set=A1a
Blastoise ex Tauros,53,0.11%,98 - 112 - 1,46.45%,/decks/blastoise-ex-a1-tauros-a1a?game=POCKET&format=standard&set=A1a
Aerodactyl ex Pidgeot,52,0.10%,114 - 131 - 3,45.97%,/decks/aerodactyl-ex-a1a-pidgeot-a1?game=POCKET&format=standard&set=A1a
Wigglytuff ex Arbok,52,0.10%,109 - 130 - 1,45.42%,/decks/wigglytuff-ex-arbok-a1?game=POCKET&format=standard&set=A1a
Machamp ex Aerodactyl ex,52,0.10%,112 - 139 - 0,44.62%,/decks/machamp-ex-a1-aerodactyl-ex-a1a?game=POCKET&format=standard&set=A1a
Blastoise ex Starmie ex,51,0.10%,107 - 124 - 0,46.32%,/decks/blastoise-ex-starmie-ex-a1?game=POCKET&format=standard&set=A1a
Machamp ex Mew ex,50,0.10%,109 - 112 - 1,49.10%,/decks/machamp-ex-a1-mew-ex-a1a?game=POCKET&format=standard&set=A1a
Golem Hitmonlee,50,0.10%,100 - 117 - 1,45.87%,/decks/golem-a1a-hitmonlee-a1?game=POCKET&format=standard&set=A1a
Mew ex Florges,48,0.10%,80 - 118 - 2,40.00%,/decks/mew-ex-florges-a1a?game=POCKET&format=standard&set=A1a
Primeape Mew ex,47,0.09%,130 - 108 - 1,54.39%,/decks/primeape-mew-ex-a1a?game=POCKET&format=standard&set=A1a
Wigglytuff ex Greninja,46,0.09%,104 - 96 - 2,51.49%,/decks/wigglytuff-ex-greninja-a1?game=POCKET&format=standard&set=A1a
Mewtwo ex Mew ex,45,0.09%,70 - 115 - 3,37.23%,/decks/mewtwo-ex-a1-mew-ex-a1a?game=POCKET&format=standard&set=A1a
Exeggutor ex Wigglytuff ex,44,0.09%,83 - 99 - 3,44.86%,/decks/exeggutor-ex-wigglytuff-ex-a1?game=POCKET&format=standard&set=A1a
Golem Mew ex,44,0.09%,80 - 106 - 3,42.33%,/decks/golem-mew-ex-a1a?game=POCKET&format=standard&set=A1a
Articuno ex,41,0.08%,103 - 101 - 0,50.49%,/decks/articuno-ex-a1?game=POCKET&format=standard&set=A1a
Tentacruel Hypno,41,0.08%,86 - 82 - 4,50.00%,/decks/tentacruel-hypno-a1?game=POCKET&format=standard&set=A1a
Marowak ex Primeape,39,0.08%,76 - 88 - 5,44.97%,/decks/marowak-ex-primeape-a1?game=POCKET&format=standard&set=A1a
Alakazam Mewtwo ex,39,0.08%,72 - 88 - 6,43.37%,/decks/alakazam-mewtwo-ex-a1?game=POCKET&format=standard&set=A1a
Machamp ex Persian,38,0.08%,80 - 82 - 2,48.78%,/decks/machamp-ex-persian-a1?game=POCKET&format=standard&set=A1a
Primeape Hitmonlee,38,0.08%,82 - 89 - 0,47.95%,/decks/primeape-a1a-hitmonlee-a1?game=POCKET&format=standard&set=A1a
Mew ex Melmetal,38,0.08%,67 - 91 - 0,42.41%,/decks/mew-ex-a1a-melmetal-a1?game=POCKET&format=standard&set=A1a
Greninja Tentacruel,38,0.08%,55 - 87 - 3,37.93%,/decks/greninja-tentacruel-a1?game=POCKET&format=standard&set=A1a
Aerodactyl ex Greninja,37,0.07%,121 - 80 - 1,59.90%,/decks/aerodactyl-ex-a1a-greninja-a1?game=POCKET&format=standard&set=A1a
Machamp ex,37,0.07%,82 - 90 - 0,47.67%,/decks/machamp-ex-a1?game=POCKET&format=standard&set=A1a
Machamp ex Druddigon,35,0.07%,78 - 83 - 3,47.56%,/decks/machamp-ex-a1-druddigon-a1a?game=POCKET&format=standard&set=A1a
Greninja Weezing,35,0.07%,54 - 70 - 0,43.55%,/decks/greninja-weezing-a1?game=POCKET&format=standard&set=A1a
Greninja Hitmonlee,34,0.07%,84 - 75 - 4,51.53%,/decks/greninja-hitmonlee-a1?game=POCKET&format=standard&set=A1a
Starmie ex Vaporeon,34,0.07%,90 - 88 - 0,50.56%,/decks/starmie-ex-a1-vaporeon-a1a?game=POCKET&format=standard&set=A1a
Muk Weezing,34,0.07%,63 - 80 - 0,44.06%,/decks/muk-weezing-a1?game=POCKET&format=standard&set=A1a
Articuno ex Vaporeon,34,0.07%,51 - 71 - 0,41.80%,/decks/articuno-ex-a1-vaporeon-a1a?game=POCKET&format=standard&set=A1a
Wigglytuff ex Weezing,34,0.07%,57 - 81 - 5,39.86%,/decks/wigglytuff-ex-weezing-a1?game=POCKET&format=standard&set=A1a
Greninja Beheeyem,33,0.07%,95 - 81 - 3,53.07%,/decks/greninja-a1-beheeyem-a1a?game=POCKET&format=standard&set=A1a
Machamp ex Primeape,33,0.07%,85 - 75 - 1,52.80%,/decks/machamp-ex-a1-primeape-a1a?game=POCKET&format=standard&set=A1a
Raichu Magneton,33,0.07%,79 - 88 - 4,46.20%,/decks/raichu-magneton-a1?game=POCKET&format=standard&set=A1a
Moltres ex Ninetales,33,0.07%,83 - 102 - 0,44.86%,/decks/moltres-ex-ninetales-a1?game=POCKET&format=standard&set=A1a
Gyarados ex Tauros,32,0.06%,75 - 77 - 0,49.34%,/decks/gyarados-ex-tauros-a1a?game=POCKET&format=standard&set=A1a
Moltres ex Centiskorch,32,0.06%,62 - 76 - 2,44.29%,/decks/moltres-ex-centiskorch-a1?game=POCKET&format=standard&set=A1a
Wigglytuff ex Exeggutor ex,31,0.06%,57 - 73 - 1,43.51%,/decks/wigglytuff-ex-exeggutor-ex-a1?game=POCKET&format=standard&set=A1a
Dragonite Greninja,31,0.06%,51 - 70 - 0,42.15%,/decks/dragonite-greninja-a1?game=POCKET&format=standard&set=A1a
Golem Aerodactyl ex,31,0.06%,61 - 84 - 1,41.78%,/decks/golem-aerodactyl-ex-a1a?game=POCKET&format=standard&set=A1a
Golem Marshadow,31,0.06%,51 - 80 - 3,38.06%,/decks/golem-marshadow-a1a?game=POCKET&format=standard&set=A1a
Florges Mew ex,31,0.06%,41 - 72 - 0,36.28%,/decks/florges-mew-ex-a1a?game=POCKET&format=standard&set=A1a
Pidgeot ex,30,0.06%,80 - 81 - 2,49.08%,/decks/pidgeot-ex-a1a?game=POCKET&format=standard&set=A1a
Greninja Melmetal,30,0.06%,70 - 76 - 1,47.62%,/decks/greninja-melmetal-a1?game=POCKET&format=standard&set=A1a
Articuno ex Starmie ex,29,0.06%,69 - 70 - 2,48.94%,/decks/articuno-ex-starmie-ex-a1?game=POCKET&format=standard&set=A1a
Marowak ex Primeape,29,0.06%,71 - 75 - 0,48.63%,/decks/marowak-ex-a1-primeape-a1a?game=POCKET&format=standard&set=A1a
Exeggutor ex Aerodactyl ex,28,0.06%,55 - 61 - 3,46.22%,/decks/exeggutor-ex-a1-aerodactyl-ex-a1a?game=POCKET&format=standard&set=A1a
Mew ex Celebi ex,28,0.06%,51 - 60 - 2,45.13%,/decks/mew-ex-celebi-ex-a1a?game=POCKET&format=standard&set=A1a
Blastoise ex Vaporeon,28,0.06%,51 - 63 - 0,44.74%,/decks/blastoise-ex-a1-vaporeon-a1a?game=POCKET&format=standard&set=A1a
Exeggutor ex Exeggutor,28,0.06%,53 - 68 - 1,43.44%,/decks/exeggutor-ex-a1-exeggutor-a1a?game=POCKET&format=standard&set=A1a
Arcanine ex Salazzle,28,0.06%,46 - 59 - 1,43.40%,/decks/arcanine-ex-a1-salazzle-a1a?game=POCKET&format=standard&set=A1a
Pidgeot Arbok,28,0.06%,49 - 75 - 1,39.20%,/decks/pidgeot-arbok-a1?game=POCKET&format=standard&set=A1a
Starmie ex Mew ex,28,0.06%,47 - 70 - 3,39.17%,/decks/starmie-ex-a1-mew-ex-a1a?game=POCKET&format=standard&set=A1a
Aerodactyl ex Hitmonlee,27,0.05%,60 - 62 - 0,49.18%,/decks/aerodactyl-ex-a1a-hitmonlee-a1?game=POCKET&format=standard&set=A1a
Scolipede Weezing,27,0.05%,43 - 70 - 4,36.75%,/decks/scolipede-weezing-a1a?game=POCKET&format=standard&set=A1a
Alakazam Florges,26,0.05%,75 - 83 - 1,47.17%,/decks/alakazam-a1-florges-a1a?game=POCKET&format=standard&set=A1a
Pidgeot ex Tauros,26,0.05%,54 - 68 - 1,43.90%,/decks/pidgeot-ex-tauros-a1a?game=POCKET&format=standard&set=A1a
Greninja Starmie ex,26,0.05%,40 - 67 - 0,37.38%,/decks/greninja-starmie-ex-a1?game=POCKET&format=standard&set=A1a
Gyarados ex Butterfree,25,0.05%,52 - 54 - 2,48.15%,/decks/gyarados-ex-a1a-butterfree-a1?game=POCKET&format=standard&set=A1a
Venusaur ex Serperior,25,0.05%,58 - 66 - 1,46.40%,/decks/venusaur-ex-a1-serperior-a1a?game=POCKET&format=standard&set=A1a
Mew ex Weezing,25,0.05%,48 - 58 - 2,44.44%,/decks/mew-ex-a1a-weezing-a1?game=POCKET&format=standard&set=A1a
Florges Beheeyem,25,0.05%,42 - 63 - 2,39.25%,/decks/florges-beheeyem-a1a?game=POCKET&format=standard&set=A1a
Dragonite Weezing,25,0.05%,30 - 60 - 0,33.33%,/decks/dragonite-weezing-a1?game=POCKET&format=standard&set=A1a
Greninja Marshadow,24,0.05%,52 - 58 - 0,47.27%,/decks/greninja-a1-marshadow-a1a?game=POCKET&format=standard&set=A1a
Marowak ex Marowak,24,0.05%,47 - 76 - 0,38.21%,/decks/marowak-ex-marowak-a1?game=POCKET&format=standard&set=A1a
Blastoise ex Mew ex,23,0.05%,37 - 48 - 0,43.53%,/decks/blastoise-ex-a1-mew-ex-a1a?game=POCKET&format=standard&set=A1a
Golem Onix,23,0.05%,39 - 57 - 0,40.63%,/decks/golem-a1a-onix-a1?game=POCKET&format=standard&set=A1a
Blastoise ex Blastoise,23,0.05%,37 - 54 - 4,38.95%,/decks/blastoise-ex-blastoise-a1?game=POCKET&format=standard&set=A1a
Machamp ex Hitmonlee,22,0.04%,49 - 47 - 0,51.04%,/decks/machamp-ex-hitmonlee-a1?game=POCKET&format=standard&set=A1a
Marowak ex Kabutops,22,0.04%,37 - 56 - 1,39.36%,/decks/marowak-ex-kabutops-a1?game=POCKET&format=standard&set=A1a
Mew ex Dragonite,22,0.04%,35 - 60 - 0,36.84%,/decks/mew-ex-a1a-dragonite-a1?game=POCKET&format=standard&set=A1a
Gengar ex Mewtwo ex,22,0.04%,17 - 46 - 1,26.56%,/decks/gengar-ex-mewtwo-ex-a1?game=POCKET&format=standard&set=A1a
Blastoise ex Greninja,21,0.04%,48 - 55 - 0,46.60%,/decks/blastoise-ex-greninja-a1?game=POCKET&format=standard&set=A1a
Melmetal Druddigon,21,0.04%,41 - 49 - 1,45.05%,/decks/melmetal-a1-druddigon-a1a?game=POCKET&format=standard&set=A1a
Golem Primeape,21,0.04%,42 - 52 - 0,44.68%,/decks/golem-primeape-a1a?game=POCKET&format=standard&set=A1a
Machamp ex Marowak ex,21,0.04%,31 - 44 - 1,40.79%,/decks/machamp-ex-marowak-ex-a1?game=POCKET&format=standard&set=A1a
Alakazam Gardevoir,21,0.04%,41 - 60 - 0,40.59%,/decks/alakazam-gardevoir-a1?game=POCKET&format=standard&set=A1a
Gyarados ex Gyarados,21,0.04%,33 - 49 - 2,39.29%,/decks/gyarados-ex-a1a-gyarados-a1?game=POCKET&format=standard&set=A1a
Exeggutor ex Butterfree,21,0.04%,26 - 51 - 0,33.77%,/decks/exeggutor-ex-butterfree-a1?game=POCKET&format=standard&set=A1a
Gengar ex Hypno,21,0.04%,22 - 44 - 4,31.43%,/decks/gengar-ex-hypno-a1?game=POCKET&format=standard&set=A1a
Pidgeot ex Beheeyem,20,0.04%,44 - 59 - 0,42.72%,/decks/pidgeot-ex-beheeyem-a1a?game=POCKET&format=standard&set=A1a
Moltres ex Volcarona,20,0.04%,30 - 50 - 0,37.50%,/decks/moltres-ex-a1-volcarona-a1a?game=POCKET&format=standard&set=A1a
Moltres ex Arcanine ex,20,0.04%,30 - 55 - 1,34.88%,/decks/moltres-ex-arcanine-ex-a1?game=POCKET&format=standard&set=A1a
Dragonite Zebstrika,20,0.04%,25 - 47 - 0,34.72%,/decks/dragonite-zebstrika-a1?game=POCKET&format=standard&set=A1a
Gardevoir Florges,19,0.04%,56 - 49 - 3,51.85%,/decks/gardevoir-a1-florges-a1a?game=POCKET&format=standard&set=A1a
Starmie ex Tentacruel,19,0.04%,41 - 53 - 0,43.62%,/decks/starmie-ex-tentacruel-a1?game=POCKET&format=standard&set=A1a
Exeggutor ex Alakazam,19,0.04%,26 - 42 - 0,38.24%,/decks/exeggutor-ex-alakazam-a1?game=POCKET&format=standard&set=A1a
Blastoise ex,18,0.04%,46 - 45 - 0,50.55%,/decks/blastoise-ex-a1?game=POCKET&format=standard&set=A1a
Machamp ex Dugtrio,18,0.04%,46 - 50 - 2,46.94%,/decks/machamp-ex-dugtrio-a1?game=POCKET&format=standard&set=A1a
Greninja Articuno ex,18,0.04%,40 - 47 - 0,45.98%,/decks/greninja-articuno-ex-a1?game=POCKET&format=standard&set=A1a
Greninja Gyarados,18,0.04%,31 - 37 - 0,45.59%,/decks/greninja-gyarados-a1?game=POCKET&format=standard&set=A1a
Pidgeot ex Greninja,18,0.04%,42 - 50 - 1,45.16%,/decks/pidgeot-ex-a1a-greninja-a1?game=POCKET&format=standard&set=A1a
Exeggutor ex Pidgeot ex,18,0.04%,34 - 42 - 1,44.16%,/decks/exeggutor-ex-a1-pidgeot-ex-a1a?game=POCKET&format=standard&set=A1a
Alakazam Druddigon,18,0.04%,12 - 38 - 0,24.00%,/decks/alakazam-a1-druddigon-a1a?game=POCKET&format=standard&set=A1a
Greninja Mewtwo ex,17,0.03%,46 - 35 - 2,55.42%,/decks/greninja-mewtwo-ex-a1?game=POCKET&format=standard&set=A1a
Marowak ex Hitmonlee,17,0.03%,43 - 38 - 1,52.44%,/decks/marowak-ex-hitmonlee-a1?game=POCKET&format=standard&set=A1a
Primeape Marshadow,17,0.03%,34 - 40 - 0,45.95%,/decks/primeape-marshadow-a1a?game=POCKET&format=standard&set=A1a
Raichu Pikachu ex,17,0.03%,44 - 56 - 2,43.14%,/decks/raichu-a1a-pikachu-ex-a1?game=POCKET&format=standard&set=A1a
Greninja Lumineon,17,0.03%,25 - 37 - 1,39.68%,/decks/greninja-a1-lumineon-a1a?game=POCKET&format=standard&set=A1a
Primeape Farfetch'd,16,0.03%,38 - 39 - 2,48.10%,/decks/primeape-a1a-farfetchd-a1?game=POCKET&format=standard&set=A1a
Machamp ex Machamp,16,0.03%,33 - 38 - 0,46.48%,/decks/machamp-ex-machamp-a1?game=POCKET&format=standard&set=A1a
Zebstrika Galvantula,16,0.03%,35 - 40 - 2,45.45%,/decks/zebstrika-a1-galvantula-a1a?game=POCKET&format=standard&set=A1a
Starmie ex Golduck,16,0.03%,35 - 44 - 1,43.75%,/decks/starmie-ex-golduck-a1?game=POCKET&format=standard&set=A1a
Bisharp Melmetal,16,0.03%,25 - 42 - 0,37.31%,/decks/bisharp-melmetal-a1?game=POCKET&format=standard&set=A1a
Aerodactyl ex Kabutops,16,0.03%,23 - 39 - 0,37.10%,/decks/aerodactyl-ex-a1a-kabutops-a1?game=POCKET&format=standard&set=A1a
Arcanine ex Rapidash,16,0.03%,17 - 38 - 1,30.36%,/decks/arcanine-ex-a1-rapidash-a1a?game=POCKET&format=standard&set=A1a
Aerodactyl ex Onix,15,0.03%,34 - 39 - 1,45.95%,/decks/aerodactyl-ex-a1a-onix-a1?game=POCKET&format=standard&set=A1a
Arcanine ex Charizard ex,15,0.03%,28 - 33 - 0,45.90%,/decks/arcanine-ex-charizard-ex-a1?game=POCKET&format=standard&set=A1a
Mew ex Primeape,15,0.03%,28 - 34 - 0,45.16%,/decks/mew-ex-primeape-a1a?game=POCKET&format=standard&set=A1a
Starmie ex Lapras ex,15,0.03%,36 - 46 - 0,43.90%,/decks/starmie-ex-a1-lapras-ex-p-a?game=POCKET&format=standard&set=A1a
Aerodactyl ex Marowak ex,15,0.03%,32 - 42 - 0,43.24%,/decks/aerodactyl-ex-a1a-marowak-ex-a1?game=POCKET&format=standard&set=A1a
Marowak ex Sandslash,15,0.03%,30 - 41 - 0,42.25%,/decks/marowak-ex-sandslash-a1?game=POCKET&format=standard&set=A1a
Alakazam Clefable,15,0.03%,26 - 38 - 0,40.63%,/decks/alakazam-clefable-a1?game=POCKET&format=standard&set=A1a
Pidgeot ex Zebstrika,15,0.03%,26 - 41 - 0,38.81%,/decks/pidgeot-ex-a1a-zebstrika-a1?game=POCKET&format=standard&set=A1a
Nidoking Nidoqueen,15,0.03%,24 - 40 - 0,37.50%,/decks/nidoking-nidoqueen-a1?game=POCKET&format=standard&set=A1a
