Deck,Count,Share,Score,Win_Percentage,Deck_links
Giratina ex Dragonite,66,0.50%,138 - 164 - 1,45.54%,/decks/giratina-ex-a2b-dragonite-a1?game=POCKET&format=standard&set=A2b
Palkia ex Manaphy,64,0.49%,151 - 148 - 1,50.33%,/decks/palkia-ex-manaphy-a2?game=POCKET&format=standard&set=A2b
Mewtwo ex Giratina ex,62,0.47%,120 - 138 - 0,46.51%,/decks/mewtwo-ex-a1-giratina-ex-a2b?game=POCKET&format=standard&set=A2b
Charizard ex Moltres ex,62,0.47%,115 - 137 - 1,45.45%,/decks/charizard-ex-a2b-moltres-ex-a1?game=POCKET&format=standard&set=A2b
Meowscarada Arceus ex,57,0.43%,144 - 142 - 6,49.32%,/decks/meowscarada-a2b-arceus-ex-a2a?game=POCKET&format=standard&set=A2b
Leafeon ex Celebi ex,57,0.43%,76 - 133 - 2,36.02%,/decks/leafeon-ex-a2a-celebi-ex-a1a?game=POCKET&format=standard&set=A2b
Exeggutor ex Arceus ex,55,0.42%,131 - 132 - 2,49.43%,/decks/exeggutor-ex-a1-arceus-ex-a2a?game=POCKET&format=standard&set=A2b
Meowscarada Wigglytuff,55,0.42%,120 - 140 - 1,45.98%,/decks/meowscarada-wigglytuff-a2b?game=POCKET&format=standard&set=A2b
Dialga ex Gholdengo,55,0.42%,84 - 144 - 0,36.84%,/decks/dialga-ex-a2-gholdengo-a2b?game=POCKET&format=standard&set=A2b
Palkia ex,52,0.39%,111 - 121 - 0,47.84%,/decks/palkia-ex-a2?game=POCKET&format=standard&set=A2b
Beedrill ex,52,0.39%,84 - 103 - 3,44.21%,/decks/beedrill-ex-a2b?game=POCKET&format=standard&set=A2b
Magnezone Pikachu ex,50,0.38%,103 - 119 - 2,45.98%,/decks/magnezone-a2-pikachu-ex-a2b?game=POCKET&format=standard&set=A2b
Paldean Clodsire ex Grafaiai,48,0.36%,94 - 128 - 0,42.34%,/decks/paldean-clodsire-ex-grafaiai-a2b?game=POCKET&format=standard&set=A2b
Gallade ex,48,0.36%,81 - 117 - 2,40.50%,/decks/gallade-ex-a2?game=POCKET&format=standard&set=A2b
Giratina ex,46,0.35%,83 - 112 - 1,42.35%,/decks/giratina-ex-a2b?game=POCKET&format=standard&set=A2b
Wugtrio ex Manaphy,43,0.33%,76 - 99 - 0,43.43%,/decks/wugtrio-ex-a2b-manaphy-a2?game=POCKET&format=standard&set=A2b
Exeggutor ex Celebi ex,41,0.31%,90 - 97 - 1,47.87%,/decks/exeggutor-ex-a1-celebi-ex-a1a?game=POCKET&format=standard&set=A2b
Palkia ex Origin Forme Palkia,40,0.30%,97 - 81 - 4,53.30%,/decks/palkia-ex-a2-origin-forme-palkia-a2a?game=POCKET&format=standard&set=A2b
Gyarados ex Origin Forme Palkia,40,0.30%,91 - 90 - 1,50.00%,/decks/gyarados-ex-a1a-origin-forme-palkia-a2a?game=POCKET&format=standard&set=A2b
Lucario ex Lucario,37,0.28%,77 - 96 - 0,44.51%,/decks/lucario-ex-a2b-lucario-a2?game=POCKET&format=standard&set=A2b
Wugtrio ex,36,0.27%,67 - 80 - 1,45.27%,/decks/wugtrio-ex-a2b?game=POCKET&format=standard&set=A2b
Beedrill ex Exeggutor ex,35,0.27%,86 - 83 - 1,50.59%,/decks/beedrill-ex-a2b-exeggutor-ex-a1?game=POCKET&format=standard&set=A2b
Mewtwo ex Gardevoir,34,0.26%,62 - 93 - 1,39.74%,/decks/mewtwo-ex-gardevoir-a1?game=POCKET&format=standard&set=A2b
Gyarados ex Palkia ex,33,0.25%,72 - 71 - 3,49.32%,/decks/gyarados-ex-a1a-palkia-ex-a2?game=POCKET&format=standard&set=A2b
Giratina ex Arceus ex,32,0.24%,61 - 76 - 1,44.20%,/decks/giratina-ex-a2b-arceus-ex-a2a?game=POCKET&format=standard&set=A2b
Leafeon ex Exeggutor,32,0.24%,49 - 64 - 0,43.36%,/decks/leafeon-ex-a2a-exeggutor-a1a?game=POCKET&format=standard&set=A2b
Giratina ex Magnezone,31,0.24%,59 - 65 - 1,47.20%,/decks/giratina-ex-a2b-magnezone-a2?game=POCKET&format=standard&set=A2b
Giratina ex Greninja,30,0.23%,47 - 63 - 2,41.96%,/decks/giratina-ex-a2b-greninja-a1?game=POCKET&format=standard&set=A2b
Pikachu ex Magnezone,29,0.22%,56 - 65 - 2,45.53%,/decks/pikachu-ex-a2b-magnezone-a2?game=POCKET&format=standard&set=A2b
Tinkaton ex Skarmory,29,0.22%,56 - 71 - 1,43.75%,/decks/tinkaton-ex-a2b-skarmory-a2?game=POCKET&format=standard&set=A2b
Gallade ex Lucario,27,0.20%,38 - 76 - 0,33.33%,/decks/gallade-ex-lucario-a2?game=POCKET&format=standard&set=A2b
Darkrai ex Arceus ex,26,0.20%,75 - 65 - 2,52.82%,/decks/darkrai-ex-a2-arceus-ex-a2a?game=POCKET&format=standard&set=A2b
Palkia ex Vaporeon,26,0.20%,53 - 49 - 1,51.46%,/decks/palkia-ex-a2-vaporeon-a1a?game=POCKET&format=standard&set=A2b
Wugtrio ex Floatzel,25,0.19%,44 - 68 - 3,38.26%,/decks/wugtrio-ex-a2b-floatzel-p-a?game=POCKET&format=standard&set=A2b
Dialga ex Giratina ex,24,0.18%,52 - 57 - 1,47.27%,/decks/dialga-ex-a2-giratina-ex-a2b?game=POCKET&format=standard&set=A2b
Arceus ex Crobat,23,0.17%,38 - 56 - 1,40.00%,/decks/arceus-ex-crobat-a2a?game=POCKET&format=standard&set=A2b
Beedrill ex Meowscarada,21,0.16%,39 - 59 - 1,39.39%,/decks/beedrill-ex-meowscarada-a2b?game=POCKET&format=standard&set=A2b
Starmie ex Palkia ex,21,0.16%,33 - 52 - 1,38.37%,/decks/starmie-ex-a1-palkia-ex-a2?game=POCKET&format=standard&set=A2b
Wugtrio ex Articuno ex,20,0.15%,45 - 48 - 2,47.37%,/decks/wugtrio-ex-a2b-articuno-ex-a1?game=POCKET&format=standard&set=A2b
Meowscarada Exeggutor ex,20,0.15%,31 - 51 - 0,37.80%,/decks/meowscarada-a2b-exeggutor-ex-a1?game=POCKET&format=standard&set=A2b
Gyarados ex Greninja,19,0.14%,42 - 46 - 0,47.73%,/decks/gyarados-ex-a1a-greninja-a1?game=POCKET&format=standard&set=A2b
Meowscarada Snorlax,19,0.14%,38 - 43 - 1,46.34%,/decks/meowscarada-a2b-snorlax-a2a?game=POCKET&format=standard&set=A2b
Celebi ex Serperior,19,0.14%,32 - 47 - 0,40.51%,/decks/celebi-ex-serperior-a1a?game=POCKET&format=standard&set=A2b
Mismagius ex Giratina ex,19,0.14%,27 - 46 - 1,36.49%,/decks/mismagius-ex-a2-giratina-ex-a2b?game=POCKET&format=standard&set=A2b
Gengar ex Giratina ex,19,0.14%,25 - 48 - 1,33.78%,/decks/gengar-ex-a1-giratina-ex-a2b?game=POCKET&format=standard&set=A2b
Dragonite Giratina ex,19,0.14%,19 - 38 - 1,32.76%,/decks/dragonite-a1-giratina-ex-a2b?game=POCKET&format=standard&set=A2b
Meowscarada,18,0.14%,29 - 41 - 1,40.85%,/decks/meowscarada-a2b?game=POCKET&format=standard&set=A2b
Magnezone Hitmonlee,17,0.13%,45 - 34 - 1,56.25%,/decks/magnezone-a2-hitmonlee-a1?game=POCKET&format=standard&set=A2b
Darkrai ex Weezing,17,0.13%,31 - 40 - 0,43.66%,/decks/darkrai-ex-a2-weezing-a1?game=POCKET&format=standard&set=A2b
Kangaskhan Origin Forme Palkia,16,0.12%,48 - 43 - 2,51.61%,/decks/kangaskhan-a1-origin-forme-palkia-a2a?game=POCKET&format=standard&set=A2b
Giratina ex Snorlax,16,0.12%,29 - 33 - 0,46.77%,/decks/giratina-ex-a2b-snorlax-a2a?game=POCKET&format=standard&set=A2b
Articuno ex Palkia ex,16,0.12%,27 - 39 - 0,40.91%,/decks/articuno-ex-a1-palkia-ex-a2?game=POCKET&format=standard&set=A2b
Giratina ex Uxie,15,0.11%,36 - 33 - 0,52.17%,/decks/giratina-ex-a2b-uxie-a2?game=POCKET&format=standard&set=A2b
Palkia ex Arceus ex,15,0.11%,39 - 37 - 2,50.00%,/decks/palkia-ex-a2-arceus-ex-a2a?game=POCKET&format=standard&set=A2b
Rampardos,15,0.11%,24 - 33 - 0,42.11%,/decks/rampardos-a2?game=POCKET&format=standard&set=A2b
Rampardos Snorlax,15,0.11%,19 - 33 - 0,36.54%,/decks/rampardos-a2-snorlax-a2a?game=POCKET&format=standard&set=A2b
Garchomp ex Lucario ex,15,0.11%,20 - 39 - 0,33.90%,/decks/garchomp-ex-a2a-lucario-ex-a2b?game=POCKET&format=standard&set=A2b
Darkrai ex Weavile ex,14,0.11%,19 - 32 - 0,37.25%,/decks/darkrai-ex-weavile-ex-a2?game=POCKET&format=standard&set=A2b
Garchomp ex Gallade ex,14,0.11%,23 - 40 - 0,36.51%,/decks/garchomp-ex-a2a-gallade-ex-a2?game=POCKET&format=standard&set=A2b
Pachirisu ex,14,0.11%,13 - 31 - 0,29.55%,/decks/pachirisu-ex-a2?game=POCKET&format=standard&set=A2b
Starmie ex Wugtrio ex,14,0.11%,10 - 29 - 0,25.64%,/decks/starmie-ex-a1-wugtrio-ex-a2b?game=POCKET&format=standard&set=A2b
Meowscarada Vespiquen,13,0.10%,35 - 32 - 0,52.24%,/decks/meowscarada-a2b-vespiquen-a2?game=POCKET&format=standard&set=A2b
Bastiodon Skarmory,13,0.10%,26 - 31 - 0,45.61%,/decks/bastiodon-skarmory-a2?game=POCKET&format=standard&set=A2b
Pachirisu ex Pikachu ex,12,0.09%,19 - 23 - 0,45.24%,/decks/pachirisu-ex-a2-pikachu-ex-a2b?game=POCKET&format=standard&set=A2b
Lucario ex Rampardos,12,0.09%,27 - 34 - 0,44.26%,/decks/lucario-ex-a2b-rampardos-a2?game=POCKET&format=standard&set=A2b
Mewtwo ex Mew ex,12,0.09%,17 - 26 - 0,39.53%,/decks/mewtwo-ex-a1-mew-ex-a1a?game=POCKET&format=standard&set=A2b
Infernape ex Moltres ex,12,0.09%,6 - 23 - 0,20.69%,/decks/infernape-ex-a2-moltres-ex-a1?game=POCKET&format=standard&set=A2b
Arceus ex Exeggutor,11,0.08%,36 - 25 - 0,59.02%,/decks/arceus-ex-a2a-exeggutor-a1?game=POCKET&format=standard&set=A2b
Leafeon ex Meowscarada,11,0.08%,35 - 33 - 1,50.72%,/decks/leafeon-ex-a2a-meowscarada-a2b?game=POCKET&format=standard&set=A2b
Leafeon ex Darkrai ex,11,0.08%,22 - 20 - 2,50.00%,/decks/leafeon-ex-a2a-darkrai-ex-a2?game=POCKET&format=standard&set=A2b
Palkia ex Giratina ex,11,0.08%,28 - 29 - 2,47.46%,/decks/palkia-ex-a2-giratina-ex-a2b?game=POCKET&format=standard&set=A2b
Darkrai ex Grafaiai,11,0.08%,21 - 24 - 0,46.67%,/decks/darkrai-ex-a2-grafaiai-a2b?game=POCKET&format=standard&set=A2b
Arceus ex Greninja,11,0.08%,18 - 26 - 0,40.91%,/decks/arceus-ex-a2a-greninja-a1?game=POCKET&format=standard&set=A2b
Paldean Clodsire ex Weezing,11,0.08%,14 - 24 - 0,36.84%,/decks/paldean-clodsire-ex-a2b-weezing-a1?game=POCKET&format=standard&set=A2b
Luxray Pikachu ex,11,0.08%,15 - 28 - 0,34.88%,/decks/luxray-a2-pikachu-ex-a2b?game=POCKET&format=standard&set=A2b
Tinkaton ex Dialga ex,11,0.08%,8 - 28 - 0,22.22%,/decks/tinkaton-ex-a2b-dialga-ex-a2?game=POCKET&format=standard&set=A2b
Meowscarada Shaymin,10,0.08%,25 - 22 - 0,53.19%,/decks/meowscarada-a2b-shaymin-a2?game=POCKET&format=standard&set=A2b
Meowscarada Magnezone,10,0.08%,22 - 26 - 1,44.90%,/decks/meowscarada-a2b-magnezone-a2?game=POCKET&format=standard&set=A2b
Kabutops Lucario,10,0.08%,11 - 21 - 0,34.38%,/decks/kabutops-a1-lucario-a2?game=POCKET&format=standard&set=A2b
Togekiss Giratina ex,10,0.08%,10 - 26 - 0,27.78%,/decks/togekiss-a2-giratina-ex-a2b?game=POCKET&format=standard&set=A2b
Gallade ex Sudowoodo,9,0.07%,20 - 19 - 1,50.00%,/decks/gallade-ex-a2-sudowoodo-a2a?game=POCKET&format=standard&set=A2b
Greninja Giratina ex,9,0.07%,18 - 17 - 2,48.65%,/decks/greninja-a1-giratina-ex-a2b?game=POCKET&format=standard&set=A2b
Rampardos Sudowoodo,9,0.07%,15 - 18 - 0,45.45%,/decks/rampardos-a2-sudowoodo-a2a?game=POCKET&format=standard&set=A2b
Pikachu ex Pachirisu,9,0.07%,13 - 19 - 1,39.39%,/decks/pikachu-ex-pachirisu-a2b?game=POCKET&format=standard&set=A2b
Pikachu ex Giratina ex,9,0.07%,11 - 17 - 0,39.29%,/decks/pikachu-ex-giratina-ex-a2b?game=POCKET&format=standard&set=A2b
Pikachu ex Zapdos ex,9,0.07%,12 - 15 - 4,38.71%,/decks/pikachu-ex-a2b-zapdos-ex-a1?game=POCKET&format=standard&set=A2b
Meowscarada Celebi ex,9,0.07%,14 - 23 - 0,37.84%,/decks/meowscarada-a2b-celebi-ex-a1a?game=POCKET&format=standard&set=A2b
Probopass ex Dialga ex,9,0.07%,11 - 22 - 0,33.33%,/decks/probopass-ex-a2a-dialga-ex-a2?game=POCKET&format=standard&set=A2b
Magnezone Arceus ex,8,0.06%,26 - 21 - 0,55.32%,/decks/magnezone-a2-arceus-ex-a2a?game=POCKET&format=standard&set=A2b
Mew ex Giratina ex,8,0.06%,19 - 20 - 0,48.72%,/decks/mew-ex-a1a-giratina-ex-a2b?game=POCKET&format=standard&set=A2b
Lucario Rampardos,8,0.06%,18 - 20 - 0,47.37%,/decks/lucario-rampardos-a2?game=POCKET&format=standard&set=A2b
Dragonite Druddigon,8,0.06%,18 - 21 - 0,46.15%,/decks/dragonite-a1-druddigon-a1a?game=POCKET&format=standard&set=A2b
Gyarados ex Articuno ex,8,0.06%,14 - 19 - 0,42.42%,/decks/gyarados-ex-a1a-articuno-ex-a1?game=POCKET&format=standard&set=A2b
Giratina ex Alakazam,8,0.06%,13 - 18 - 0,41.94%,/decks/giratina-ex-a2b-alakazam-a1?game=POCKET&format=standard&set=A2b
Charizard ex,8,0.06%,11 - 17 - 0,39.29%,/decks/charizard-ex-a2b?game=POCKET&format=standard&set=A2b
Pikachu ex Pachirisu ex,8,0.06%,9 - 14 - 0,39.13%,/decks/pikachu-ex-a2b-pachirisu-ex-a2?game=POCKET&format=standard&set=A2b
Mew ex Dialga ex,8,0.06%,12 - 19 - 1,37.50%,/decks/mew-ex-a1a-dialga-ex-a2?game=POCKET&format=standard&set=A2b
Luxray Manectric,8,0.06%,7 - 14 - 0,33.33%,/decks/luxray-a2-manectric-a2a?game=POCKET&format=standard&set=A2b
Palkia ex Wugtrio ex,8,0.06%,9 - 20 - 0,31.03%,/decks/palkia-ex-a2-wugtrio-ex-a2b?game=POCKET&format=standard&set=A2b
Beedrill ex Celebi ex,8,0.06%,4 - 17 - 0,19.05%,/decks/beedrill-ex-a2b-celebi-ex-a1a?game=POCKET&format=standard&set=A2b
Charizard ex Arceus ex,8,0.06%,1 - 13 - 0,7.14%,/decks/charizard-ex-a2b-arceus-ex-a2a?game=POCKET&format=standard&set=A2b
Gyarados ex Druddigon,7,0.05%,23 - 18 - 0,56.10%,/decks/gyarados-ex-druddigon-a1a?game=POCKET&format=standard&set=A2b
Magnezone Giratina ex,7,0.05%,23 - 18 - 1,54.76%,/decks/magnezone-a2-giratina-ex-a2b?game=POCKET&format=standard&set=A2b
Alakazam Giratina ex,7,0.05%,17 - 16 - 0,51.52%,/decks/alakazam-a1-giratina-ex-a2b?game=POCKET&format=standard&set=A2b
Meowscarada Cyclizar,7,0.05%,18 - 18 - 0,50.00%,/decks/meowscarada-cyclizar-a2b?game=POCKET&format=standard&set=A2b
Garchomp Snorlax,7,0.05%,15 - 17 - 0,46.88%,/decks/garchomp-a2-snorlax-a2a?game=POCKET&format=standard&set=A2b
Gardevoir Mewtwo ex,7,0.05%,15 - 17 - 0,46.88%,/decks/gardevoir-mewtwo-ex-a1?game=POCKET&format=standard&set=A2b
Paldean Clodsire ex Darkrai ex,7,0.05%,14 - 17 - 0,45.16%,/decks/paldean-clodsire-ex-a2b-darkrai-ex-a2?game=POCKET&format=standard&set=A2b
Meowscarada Farfetch'd,7,0.05%,12 - 15 - 0,44.44%,/decks/meowscarada-a2b-farfetchd-a1?game=POCKET&format=standard&set=A2b
Darkrai ex Crobat,7,0.05%,13 - 17 - 0,43.33%,/decks/darkrai-ex-a2-crobat-a2a?game=POCKET&format=standard&set=A2b
Giratina ex Mew ex,7,0.05%,15 - 20 - 1,41.67%,/decks/giratina-ex-a2b-mew-ex-a1a?game=POCKET&format=standard&set=A2b
Leafeon ex Giratina ex,7,0.05%,11 - 19 - 2,34.38%,/decks/leafeon-ex-a2a-giratina-ex-a2b?game=POCKET&format=standard&set=A2b
Darkrai ex Toxicroak,7,0.05%,3 - 14 - 0,17.65%,/decks/darkrai-ex-a2-toxicroak-a2a?game=POCKET&format=standard&set=A2b
Wugtrio ex Greninja,6,0.05%,17 - 14 - 1,53.13%,/decks/wugtrio-ex-a2b-greninja-a1?game=POCKET&format=standard&set=A2b
Gyarados ex Gyarados,6,0.05%,11 - 10 - 0,52.38%,/decks/gyarados-ex-a1a-gyarados-a1?game=POCKET&format=standard&set=A2b
Gallade ex Hitmonlee,6,0.05%,16 - 14 - 1,51.61%,/decks/gallade-ex-a2-hitmonlee-a2b?game=POCKET&format=standard&set=A2b
Togekiss Sigilyph,6,0.05%,15 - 15 - 0,50.00%,/decks/togekiss-a2-sigilyph-a1a?game=POCKET&format=standard&set=A2b
Wugtrio ex Starmie ex,6,0.05%,9 - 11 - 0,45.00%,/decks/wugtrio-ex-a2b-starmie-ex-a1?game=POCKET&format=standard&set=A2b
Giratina ex Staraptor,6,0.05%,13 - 17 - 0,43.33%,/decks/giratina-ex-a2b-staraptor-a2a?game=POCKET&format=standard&set=A2b
Starmie ex Leafeon ex,6,0.05%,12 - 16 - 0,42.86%,/decks/starmie-ex-a1-leafeon-ex-a2a?game=POCKET&format=standard&set=A2b
Lucario ex Hitmonlee,6,0.05%,11 - 15 - 0,42.31%,/decks/lucario-ex-a2b-hitmonlee-a1?game=POCKET&format=standard&set=A2b
Palkia ex Articuno ex,6,0.05%,10 - 14 - 0,41.67%,/decks/palkia-ex-a2-articuno-ex-a1?game=POCKET&format=standard&set=A2b
Yanmega ex Dialga ex,6,0.05%,8 - 10 - 2,40.00%,/decks/yanmega-ex-dialga-ex-a2?game=POCKET&format=standard&set=A2b
Garchomp,6,0.05%,9 - 14 - 0,39.13%,/decks/garchomp-a2?game=POCKET&format=standard&set=A2b
Rampardos Primeape,6,0.05%,10 - 17 - 0,37.04%,/decks/rampardos-a2-primeape-a1?game=POCKET&format=standard&set=A2b
Rampardos Persian,6,0.05%,8 - 15 - 0,34.78%,/decks/rampardos-a2-persian-a1?game=POCKET&format=standard&set=A2b
Dialga ex Mew ex,6,0.05%,6 - 12 - 0,33.33%,/decks/dialga-ex-a2-mew-ex-a1a?game=POCKET&format=standard&set=A2b
Lucario Sudowoodo,6,0.05%,7 - 14 - 0,33.33%,/decks/lucario-a2-sudowoodo-a2a?game=POCKET&format=standard&set=A2b
Mew ex Mewtwo ex,6,0.05%,7 - 14 - 0,33.33%,/decks/mew-ex-a1a-mewtwo-ex-a1?game=POCKET&format=standard&set=A2b
Wugtrio ex Origin Forme Palkia,6,0.05%,5 - 12 - 0,29.41%,/decks/wugtrio-ex-a2b-origin-forme-palkia-a2a?game=POCKET&format=standard&set=A2b
Marowak ex Magnezone,6,0.05%,6 - 16 - 0,27.27%,/decks/marowak-ex-a1-magnezone-a2?game=POCKET&format=standard&set=A2b
Rampardos Marshadow,6,0.05%,3 - 9 - 0,25.00%,/decks/rampardos-a2-marshadow-a1a?game=POCKET&format=standard&set=A2b
Garchomp ex Lucario,6,0.05%,3 - 15 - 0,16.67%,/decks/garchomp-ex-a2a-lucario-a2?game=POCKET&format=standard&set=A2b
Arceus ex Magnezone,6,0.05%,3 - 17 - 0,15.00%,/decks/arceus-ex-a2a-magnezone-a2?game=POCKET&format=standard&set=A2b
Gyarados ex,6,0.05%,1 - 7 - 0,12.50%,/decks/gyarados-ex-a1a?game=POCKET&format=standard&set=A2b
Origin Forme Palkia,5,0.04%,14 - 9 - 0,60.87%,/decks/origin-forme-palkia-a2a?game=POCKET&format=standard&set=A2b
Magnezone Mew ex,5,0.04%,19 - 13 - 0,59.38%,/decks/magnezone-a2-mew-ex-a1a?game=POCKET&format=standard&set=A2b
Charizard ex Giratina ex,5,0.04%,13 - 10 - 1,54.17%,/decks/charizard-ex-a1-giratina-ex-a2b?game=POCKET&format=standard&set=A2b
Rampardos Aerodactyl ex,5,0.04%,15 - 13 - 0,53.57%,/decks/rampardos-a2-aerodactyl-ex-a1a?game=POCKET&format=standard&set=A2b
Garchomp ex Hitmonlee,5,0.04%,18 - 16 - 0,52.94%,/decks/garchomp-ex-a2a-hitmonlee-a1?game=POCKET&format=standard&set=A2b
Infernape ex,5,0.04%,10 - 10 - 0,50.00%,/decks/infernape-ex-a2?game=POCKET&format=standard&set=A2b
Leafeon ex Exeggutor ex,5,0.04%,10 - 11 - 0,47.62%,/decks/leafeon-ex-a2a-exeggutor-ex-a1?game=POCKET&format=standard&set=A2b
Magnezone Weezing,5,0.04%,10 - 11 - 0,47.62%,/decks/magnezone-a2-weezing-a1?game=POCKET&format=standard&set=A2b
Infernape ex Arceus ex,5,0.04%,9 - 9 - 1,47.37%,/decks/infernape-ex-a2-arceus-ex-a2a?game=POCKET&format=standard&set=A2b
Probopass ex Skarmory,5,0.04%,11 - 13 - 0,45.83%,/decks/probopass-ex-a2a-skarmory-a2?game=POCKET&format=standard&set=A2b
Magnezone Snorlax,5,0.04%,8 - 11 - 0,42.11%,/decks/magnezone-a2-snorlax-a2a?game=POCKET&format=standard&set=A2b
Tinkaton ex Giratina ex,5,0.04%,10 - 17 - 0,37.04%,/decks/tinkaton-ex-giratina-ex-a2b?game=POCKET&format=standard&set=A2b
Magnezone Electivire,5,0.04%,5 - 9 - 0,35.71%,/decks/magnezone-electivire-a2?game=POCKET&format=standard&set=A2b
Beedrill ex Leafeon ex,5,0.04%,7 - 13 - 0,35.00%,/decks/beedrill-ex-a2b-leafeon-ex-a2a?game=POCKET&format=standard&set=A2b
Dialga ex Melmetal,5,0.04%,7 - 14 - 0,33.33%,/decks/dialga-ex-a2-melmetal-a1?game=POCKET&format=standard&set=A2b
Aerodactyl ex Rampardos,5,0.04%,4 - 8 - 0,33.33%,/decks/aerodactyl-ex-a1a-rampardos-a2?game=POCKET&format=standard&set=A2b
Bibarel ex Wigglytuff,5,0.04%,8 - 16 - 0,33.33%,/decks/bibarel-ex-wigglytuff-a2b?game=POCKET&format=standard&set=A2b
Gyarados ex Mew ex,5,0.04%,6 - 12 - 0,33.33%,/decks/gyarados-ex-mew-ex-a1a?game=POCKET&format=standard&set=A2b
Beedrill ex Yanmega ex,5,0.04%,5 - 11 - 0,31.25%,/decks/beedrill-ex-a2b-yanmega-ex-a2?game=POCKET&format=standard&set=A2b
Wugtrio ex Frosmoth,5,0.04%,5 - 11 - 1,29.41%,/decks/wugtrio-ex-a2b-frosmoth-a1?game=POCKET&format=standard&set=A2b
Greninja Farfetch'd,5,0.04%,5 - 13 - 0,27.78%,/decks/greninja-farfetchd-a1?game=POCKET&format=standard&set=A2b
Pikachu ex Electivire,5,0.04%,5 - 13 - 0,27.78%,/decks/pikachu-ex-a2b-electivire-a2?game=POCKET&format=standard&set=A2b
Magnezone Ninetales,5,0.04%,4 - 13 - 1,22.22%,/decks/magnezone-a2-ninetales-a1?game=POCKET&format=standard&set=A2b
Gengar ex Dusknoir,5,0.04%,2 - 8 - 0,20.00%,/decks/gengar-ex-a1-dusknoir-a2?game=POCKET&format=standard&set=A2b
Charizard ex Giratina ex,5,0.04%,1 - 9 - 0,10.00%,/decks/charizard-ex-giratina-ex-a2b?game=POCKET&format=standard&set=A2b
Probopass ex Wormadam,4,0.03%,20 - 9 - 0,68.97%,/decks/probopass-ex-a2a-wormadam-a2?game=POCKET&format=standard&set=A2b
Arceus ex Farfetch'd,4,0.03%,19 - 10 - 0,65.52%,/decks/arceus-ex-a2a-farfetchd-a1?game=POCKET&format=standard&set=A2b
