Deck,Count,Share,Score,Win_Percentage,Deck_links
Snorlax ex Lugia ex,5,0.05%,14 - 15 - 0,48.28%,/decks/snorlax-ex-a3b-lugia-ex-a4?game=POCKET&format=standard&set=A4
Lanturn ex Pichu,5,0.05%,11 - 13 - 0,45.83%,/decks/lanturn-ex-pichu-a4?game=POCKET&format=standard&set=A4
Solgaleo ex Sylveon ex,5,0.05%,11 - 13 - 0,45.83%,/decks/solgaleo-ex-a3-sylveon-ex-a3b?game=POCKET&format=standard&set=A4
Wishiwashi ex Wishiwashi,5,0.05%,12 - 15 - 0,44.44%,/decks/wishiwashi-ex-wishiwashi-a3?game=POCKET&format=standard&set=A4
Gallade ex Stoutland,5,0.05%,12 - 15 - 0,44.44%,/decks/gallade-ex-a2-stoutland-a3a?game=POCKET&format=standard&set=A4
Weavile ex Tyranitar,5,0.05%,11 - 15 - 0,42.31%,/decks/weavile-ex-a2-tyranitar-a4?game=POCKET&format=standard&set=A4
Skarmory ex Unown,5,0.05%,9 - 13 - 0,40.91%,/decks/skarmory-ex-unown-a4?game=POCKET&format=standard&set=A4
Pikachu ex Pachirisu ex,5,0.05%,8 - 12 - 0,40.00%,/decks/pikachu-ex-a1-pachirisu-ex-a2?game=POCKET&format=standard&set=A4
Sylveon ex Typhlosion,5,0.05%,9 - 13 - 1,39.13%,/decks/sylveon-ex-a3b-typhlosion-a4?game=POCKET&format=standard&set=A4
Palkia ex Gyarados,5,0.05%,5 - 8 - 0,38.46%,/decks/palkia-ex-a2-gyarados-a4?game=POCKET&format=standard&set=A4
Sylveon ex Xatu,5,0.05%,8 - 14 - 0,36.36%,/decks/sylveon-ex-a3b-xatu-a4?game=POCKET&format=standard&set=A4
Crobat ex Nihilego,5,0.05%,8 - 14 - 0,36.36%,/decks/crobat-ex-a4-nihilego-a3a?game=POCKET&format=standard&set=A4
Aerodactyl ex Lucario,5,0.05%,6 - 11 - 0,35.29%,/decks/aerodactyl-ex-a1a-lucario-a2?game=POCKET&format=standard&set=A4
Arceus ex Zeraora,5,0.05%,8 - 15 - 0,34.78%,/decks/arceus-ex-a2a-zeraora-a3a?game=POCKET&format=standard&set=A4
Lucario Rampardos,5,0.05%,7 - 14 - 0,33.33%,/decks/lucario-rampardos-a2?game=POCKET&format=standard&set=A4
Aerodactyl ex Medicham,5,0.05%,6 - 15 - 0,28.57%,/decks/aerodactyl-ex-a1a-medicham-a3a?game=POCKET&format=standard&set=A4
Greninja Ho-Oh ex,5,0.05%,2 - 11 - 0,15.38%,/decks/greninja-a1-ho-oh-ex-a4?game=POCKET&format=standard&set=A4
Ho-Oh ex Giratina ex,4,0.04%,15 - 9 - 2,57.69%,/decks/ho-oh-ex-a4-giratina-ex-a2b?game=POCKET&format=standard&set=A4
Glaceon ex Palkia ex,4,0.04%,9 - 7 - 0,56.25%,/decks/glaceon-ex-a2a-palkia-ex-a2?game=POCKET&format=standard&set=A4
Solgaleo ex Skarmory ex,4,0.04%,10 - 11 - 0,47.62%,/decks/solgaleo-ex-a3-skarmory-ex-a4?game=POCKET&format=standard&set=A4
Kingdra ex Greninja,4,0.04%,9 - 10 - 0,47.37%,/decks/kingdra-ex-a4-greninja-a1?game=POCKET&format=standard&set=A4
Guzzlord ex Celesteela,4,0.04%,12 - 14 - 0,46.15%,/decks/guzzlord-ex-celesteela-a3a?game=POCKET&format=standard&set=A4
Moltres ex Ho-Oh ex,4,0.04%,8 - 9 - 1,44.44%,/decks/moltres-ex-a1-ho-oh-ex-a4?game=POCKET&format=standard&set=A4
Decidueye Meowscarada,4,0.04%,7 - 9 - 0,43.75%,/decks/decidueye-a3a-meowscarada-a2b?game=POCKET&format=standard&set=A4
Eevee ex Espeon ex,4,0.04%,7 - 10 - 0,41.18%,/decks/eevee-ex-a3b-espeon-ex-a4?game=POCKET&format=standard&set=A4
Charizard ex Silvally,4,0.04%,9 - 13 - 0,40.91%,/decks/charizard-ex-a2b-silvally-a3a?game=POCKET&format=standard&set=A4
Charizard ex Incineroar ex,4,0.04%,8 - 12 - 0,40.00%,/decks/charizard-ex-a2b-incineroar-ex-a3?game=POCKET&format=standard&set=A4
Snorlax ex Pichu,4,0.04%,8 - 12 - 1,38.10%,/decks/snorlax-ex-a3b-pichu-a4?game=POCKET&format=standard&set=A4
Charizard ex Flareon ex,4,0.04%,8 - 13 - 0,38.10%,/decks/charizard-ex-a2b-flareon-ex-a3b?game=POCKET&format=standard&set=A4
Darkrai ex Guzzlord ex,4,0.04%,6 - 11 - 0,35.29%,/decks/darkrai-ex-a2-guzzlord-ex-a3a?game=POCKET&format=standard&set=A4
Lunala ex Snorlax ex,4,0.04%,6 - 11 - 0,35.29%,/decks/lunala-ex-a3-snorlax-ex-a3b?game=POCKET&format=standard&set=A4
Sylveon ex Umbreon ex,4,0.04%,3 - 6 - 0,33.33%,/decks/sylveon-ex-a3b-umbreon-ex-a4?game=POCKET&format=standard&set=A4
Kingdra ex,4,0.04%,7 - 15 - 0,31.82%,/decks/kingdra-ex-a4?game=POCKET&format=standard&set=A4
Crobat ex Crobat,4,0.04%,4 - 9 - 0,30.77%,/decks/crobat-ex-a4-crobat-a2a?game=POCKET&format=standard&set=A4
Kingdra ex Sylveon ex,4,0.04%,3 - 7 - 0,30.00%,/decks/kingdra-ex-a4-sylveon-ex-a3b?game=POCKET&format=standard&set=A4
Lanturn ex Oricorio,4,0.04%,3 - 8 - 0,27.27%,/decks/lanturn-ex-a4-oricorio-a3?game=POCKET&format=standard&set=A4
Ho-Oh ex Rayquaza ex,4,0.04%,3 - 11 - 0,21.43%,/decks/ho-oh-ex-a4-rayquaza-ex-p-a?game=POCKET&format=standard&set=A4
Charizard ex Moltres ex,4,0.04%,3 - 11 - 0,21.43%,/decks/charizard-ex-a2b-moltres-ex-a1?game=POCKET&format=standard&set=A4
Exeggutor ex Decidueye ex,4,0.04%,1 - 7 - 0,12.50%,/decks/exeggutor-ex-a1-decidueye-ex-a3?game=POCKET&format=standard&set=A4
Giratina ex Arceus ex,3,0.03%,16 - 8 - 0,66.67%,/decks/giratina-ex-a2b-arceus-ex-a2a?game=POCKET&format=standard&set=A4
Sylveon ex Leafeon ex,3,0.03%,12 - 6 - 0,66.67%,/decks/sylveon-ex-a3b-leafeon-ex-a2a?game=POCKET&format=standard&set=A4
Crobat ex Guzzlord ex,3,0.03%,10 - 7 - 0,58.82%,/decks/crobat-ex-a4-guzzlord-ex-a3a?game=POCKET&format=standard&set=A4
Primarina ex Greninja,3,0.03%,12 - 10 - 0,54.55%,/decks/primarina-ex-a3b-greninja-a1?game=POCKET&format=standard&set=A4
Arceus ex Lugia ex,3,0.03%,8 - 7 - 0,53.33%,/decks/arceus-ex-a2a-lugia-ex-a4?game=POCKET&format=standard&set=A4
Sylveon ex Banette,3,0.03%,11 - 10 - 0,52.38%,/decks/sylveon-ex-a3b-banette-a3?game=POCKET&format=standard&set=A4
Skarmory ex Bastiodon,3,0.03%,10 - 10 - 0,50.00%,/decks/skarmory-ex-a4-bastiodon-a2?game=POCKET&format=standard&set=A4
Lucario Sudowoodo,3,0.03%,7 - 7 - 0,50.00%,/decks/lucario-a2-sudowoodo-a2a?game=POCKET&format=standard&set=A4
Exeggutor ex Celebi ex,3,0.03%,9 - 9 - 0,50.00%,/decks/exeggutor-ex-a1-celebi-ex-a1a?game=POCKET&format=standard&set=A4
Sylveon ex Stoutland,3,0.03%,7 - 7 - 0,50.00%,/decks/sylveon-ex-a3b-stoutland-a3a?game=POCKET&format=standard&set=A4
Tyranitar Darkrai ex,3,0.03%,9 - 10 - 0,47.37%,/decks/tyranitar-a4-darkrai-ex-a2?game=POCKET&format=standard&set=A4
Weezing Tyranitar,3,0.03%,9 - 10 - 0,47.37%,/decks/weezing-a1-tyranitar-a4?game=POCKET&format=standard&set=A4
Sylveon ex Gardevoir,3,0.03%,7 - 8 - 0,46.67%,/decks/sylveon-ex-gardevoir-a3b?game=POCKET&format=standard&set=A4
Darkrai ex Weezing,3,0.03%,7 - 8 - 0,46.67%,/decks/darkrai-ex-a2-weezing-a1?game=POCKET&format=standard&set=A4
Pikachu ex Oricorio,3,0.03%,6 - 7 - 0,46.15%,/decks/pikachu-ex-a2b-oricorio-a3?game=POCKET&format=standard&set=A4
Buzzwole ex Guzzlord ex,3,0.03%,6 - 6 - 1,46.15%,/decks/buzzwole-ex-guzzlord-ex-a3a?game=POCKET&format=standard&set=A4
Umbreon ex,3,0.03%,7 - 9 - 0,43.75%,/decks/umbreon-ex-a4?game=POCKET&format=standard&set=A4
Silvally Tapu Koko ex,3,0.03%,8 - 11 - 0,42.11%,/decks/silvally-tapu-koko-ex-a3a?game=POCKET&format=standard&set=A4
Sylveon ex Toucannon,3,0.03%,5 - 7 - 0,41.67%,/decks/sylveon-ex-a3b-toucannon-a3?game=POCKET&format=standard&set=A4
