Deck,Deck_links,Count,Share,Score,Win_Percentage
Pidgeot Arbok,/decks/pidgeot-arbok-a1?game=POCKET&format=standard&set=A1,173,0.44%,335 - 435 - 4,43.28%
Gardevoir Mewtwo ex,/decks/gardevoir-mewtwo-ex-a1?game=POCKET&format=standard&set=A1,166,0.42%,345 - 427 - 6,44.34%
Starmie ex Golduck,/decks/starmie-ex-golduck-a1?game=POCKET&format=standard&set=A1,146,0.37%,382 - 349 - 6,51.83%
Venusaur ex Lilligant,/decks/venusaur-ex-lilligant-a1?game=POCKET&format=standard&set=A1,135,0.35%,204 - 352 - 2,36.56%
Greninja Weezing,/decks/greninja-weezing-a1?game=POCKET&format=standard&set=A1,130,0.33%,263 - 329 - 8,43.83%
Muk Weezing,/decks/muk-weezing-a1?game=POCKET&format=standard&set=A1,128,0.33%,222 - 309 - 9,41.11%
Articuno ex Starmie ex,/decks/articuno-ex-starmie-ex-a1?game=POCKET&format=standard&set=A1,126,0.32%,254 - 311 - 4,44.64%
Greninja Mewtwo ex,/decks/greninja-mewtwo-ex-a1?game=POCKET&format=standard&set=A1,122,0.31%,287 - 313 - 1,47.75%
Wigglytuff ex Exeggutor ex,/decks/wigglytuff-ex-exeggutor-ex-a1?game=POCKET&format=standard&set=A1,121,0.31%,259 - 278 - 8,47.52%
Machamp ex Marowak ex,/decks/machamp-ex-marowak-ex-a1?game=POCKET&format=standard&set=A1,109,0.28%,230 - 278 - 3,45.01%
Marowak ex Dugtrio,/decks/marowak-ex-dugtrio-a1?game=POCKET&format=standard&set=A1,108,0.28%,244 - 296 - 5,44.77%
Machamp ex Primeape,/decks/machamp-ex-primeape-a1?game=POCKET&format=standard&set=A1,105,0.27%,217 - 280 - 1,43.57%
Starmie ex Lapras ex,/decks/starmie-ex-a1-lapras-ex-p-a?game=POCKET&format=standard&set=A1,99,0.25%,180 - 235 - 4,42.96%
Moltres ex Centiskorch,/decks/moltres-ex-centiskorch-a1?game=POCKET&format=standard&set=A1,97,0.25%,184 - 240 - 2,43.19%
Blastoise ex Starmie ex,/decks/blastoise-ex-starmie-ex-a1?game=POCKET&format=standard&set=A1,93,0.24%,195 - 239 - 1,44.83%
Pikachu ex,/decks/pikachu-ex-a1?game=POCKET&format=standard&set=A1,88,0.23%,187 - 249 - 3,42.60%
Blastoise ex Mewtwo,/decks/blastoise-ex-mewtwo-a1?game=POCKET&format=standard&set=A1,82,0.21%,221 - 210 - 2,51.04%
Exeggutor ex Butterfree,/decks/exeggutor-ex-butterfree-a1?game=POCKET&format=standard&set=A1,77,0.20%,134 - 180 - 4,42.14%
Dragonite Frosmoth,/decks/dragonite-frosmoth-a1?game=POCKET&format=standard&set=A1,75,0.19%,110 - 200 - 1,35.37%
Greninja Tentacruel,/decks/greninja-tentacruel-a1?game=POCKET&format=standard&set=A1,74,0.19%,141 - 150 - 0,48.45%
Exeggutor ex Victreebel,/decks/exeggutor-ex-victreebel-a1?game=POCKET&format=standard&set=A1,71,0.18%,172 - 180 - 3,48.45%
Greninja Starmie ex,/decks/greninja-starmie-ex-a1?game=POCKET&format=standard&set=A1,67,0.17%,144 - 156 - 3,47.52%
Wigglytuff ex Greninja,/decks/wigglytuff-ex-greninja-a1?game=POCKET&format=standard&set=A1,65,0.17%,159 - 183 - 3,46.09%
Blastoise ex Articuno ex,/decks/blastoise-ex-articuno-ex-a1?game=POCKET&format=standard&set=A1,64,0.16%,120 - 153 - 0,43.96%
Machamp ex,/decks/machamp-ex-a1?game=POCKET&format=standard&set=A1,62,0.16%,140 - 167 - 2,45.31%
Primeape Kabutops,/decks/primeape-kabutops-a1?game=POCKET&format=standard&set=A1,61,0.16%,92 - 138 - 0,40.00%
Exeggutor ex Wigglytuff ex,/decks/exeggutor-ex-wigglytuff-ex-a1?game=POCKET&format=standard&set=A1,60,0.15%,155 - 159 - 7,48.29%
Alakazam Kangaskhan,/decks/alakazam-kangaskhan-a1?game=POCKET&format=standard&set=A1,59,0.15%,97 - 154 - 6,37.74%
Dragonite Kangaskhan,/decks/dragonite-kangaskhan-a1?game=POCKET&format=standard&set=A1,57,0.15%,80 - 145 - 3,35.09%
Alakazam Greninja,/decks/alakazam-greninja-a1?game=POCKET&format=standard&set=A1,55,0.14%,110 - 140 - 1,43.82%
Blastoise ex Blastoise,/decks/blastoise-ex-blastoise-a1?game=POCKET&format=standard&set=A1,53,0.14%,83 - 124 - 0,40.10%
Marowak ex Golbat,/decks/marowak-ex-golbat-a1?game=POCKET&format=standard&set=A1,51,0.13%,101 - 141 - 1,41.56%
Blastoise ex Meowth,/decks/blastoise-ex-meowth-a1?game=POCKET&format=standard&set=A1,48,0.12%,107 - 110 - 2,48.86%
Greninja Articuno ex,/decks/greninja-articuno-ex-a1?game=POCKET&format=standard&set=A1,46,0.12%,121 - 123 - 0,49.59%
Exeggutor ex Venusaur ex,/decks/exeggutor-ex-venusaur-ex-a1?game=POCKET&format=standard&set=A1,46,0.12%,56 - 115 - 2,32.37%
Machamp ex Dugtrio,/decks/machamp-ex-dugtrio-a1?game=POCKET&format=standard&set=A1,45,0.12%,112 - 126 - 2,46.67%
Marowak ex Marowak,/decks/marowak-ex-marowak-a1?game=POCKET&format=standard&set=A1,45,0.12%,85 - 132 - 2,38.81%
Venusaur ex Butterfree,/decks/venusaur-ex-butterfree-a1?game=POCKET&format=standard&set=A1,43,0.11%,61 - 112 - 1,35.06%
Starmie ex Tentacruel,/decks/starmie-ex-tentacruel-a1?game=POCKET&format=standard&set=A1,42,0.11%,98 - 117 - 0,45.58%
Sandslash Primeape,/decks/sandslash-primeape-a1?game=POCKET&format=standard&set=A1,42,0.11%,79 - 110 - 1,41.58%
Exeggutor ex Alakazam,/decks/exeggutor-ex-alakazam-a1?game=POCKET&format=standard&set=A1,42,0.11%,74 - 119 - 2,37.95%
Nidoking Weezing,/decks/nidoking-weezing-a1?game=POCKET&format=standard&set=A1,42,0.11%,66 - 114 - 2,36.26%
Machoke Graveler,/decks/machoke-graveler-a1?game=POCKET&format=standard&set=A1,41,0.10%,97 - 71 - 1,57.40%
Dragonite Articuno,/decks/dragonite-articuno-a1?game=POCKET&format=standard&set=A1,41,0.10%,70 - 101 - 1,40.70%
Alakazam Clefable,/decks/alakazam-clefable-a1?game=POCKET&format=standard&set=A1,40,0.10%,70 - 103 - 1,40.23%
Starmie ex Frosmoth,/decks/starmie-ex-frosmoth-a1?game=POCKET&format=standard&set=A1,39,0.10%,97 - 87 - 0,52.72%
Blastoise ex,/decks/blastoise-ex-a1?game=POCKET&format=standard&set=A1,39,0.10%,92 - 89 - 1,50.55%
Marowak ex Pidgeot,/decks/marowak-ex-pidgeot-a1?game=POCKET&format=standard&set=A1,39,0.10%,81 - 100 - 1,44.51%
Gengar ex Gengar,/decks/gengar-ex-gengar-a1?game=POCKET&format=standard&set=A1,39,0.10%,66 - 96 - 2,40.24%
Zapdos ex Electrode,/decks/zapdos-ex-electrode-a1?game=POCKET&format=standard&set=A1,38,0.10%,77 - 99 - 1,43.50%
Dragonite,/decks/dragonite-a1?game=POCKET&format=standard&set=A1,38,0.10%,57 - 86 - 0,39.86%
Arbok Muk,/decks/arbok-muk-a1?game=POCKET&format=standard&set=A1,35,0.09%,63 - 93 - 2,39.87%
Gengar ex Hypno,/decks/gengar-ex-hypno-a1?game=POCKET&format=standard&set=A1,35,0.09%,47 - 78 - 2,37.01%
Arcanine ex Rapidash,/decks/arcanine-ex-rapidash-a1?game=POCKET&format=standard&set=A1,34,0.09%,74 - 100 - 0,42.53%
Machamp ex Sandslash,/decks/machamp-ex-sandslash-a1?game=POCKET&format=standard&set=A1,33,0.08%,54 - 66 - 2,44.26%
Gengar ex Mewtwo ex,/decks/gengar-ex-mewtwo-ex-a1?game=POCKET&format=standard&set=A1,33,0.08%,45 - 78 - 1,36.29%
Alakazam,/decks/alakazam-a1?game=POCKET&format=standard&set=A1,33,0.08%,38 - 74 - 1,33.63%
Lapras ex Greninja,/decks/lapras-ex-p-a-greninja-a1?game=POCKET&format=standard&set=A1,32,0.08%,89 - 85 - 0,51.15%
Kabutops Onix,/decks/kabutops-onix-a1?game=POCKET&format=standard&set=A1,32,0.08%,57 - 85 - 0,40.14%
Lapras ex Articuno ex,/decks/lapras-ex-p-a-articuno-ex-a1?game=POCKET&format=standard&set=A1,32,0.08%,52 - 85 - 1,37.68%
Pidgeot Melmetal,/decks/pidgeot-melmetal-a1?game=POCKET&format=standard&set=A1,31,0.08%,63 - 64 - 2,48.84%
Dragonite Hypno,/decks/dragonite-hypno-a1?game=POCKET&format=standard&set=A1,30,0.08%,72 - 93 - 1,43.37%
Machamp ex Machamp,/decks/machamp-ex-machamp-a1?game=POCKET&format=standard&set=A1,29,0.07%,63 - 74 - 1,45.65%
Zapdos ex Pikachu ex,/decks/zapdos-ex-pikachu-ex-a1?game=POCKET&format=standard&set=A1,29,0.07%,47 - 64 - 0,42.34%
Marowak ex Machamp ex,/decks/marowak-ex-machamp-ex-a1?game=POCKET&format=standard&set=A1,29,0.07%,46 - 76 - 1,37.40%
Wigglytuff ex Frosmoth,/decks/wigglytuff-ex-frosmoth-a1?game=POCKET&format=standard&set=A1,28,0.07%,48 - 67 - 3,40.68%
Greninja Wigglytuff ex,/decks/greninja-wigglytuff-ex-a1?game=POCKET&format=standard&set=A1,27,0.07%,59 - 61 - 1,48.76%
Charizard ex Charizard,/decks/charizard-ex-charizard-a1?game=POCKET&format=standard&set=A1,27,0.07%,59 - 70 - 3,44.70%
Marowak ex Kabutops,/decks/marowak-ex-kabutops-a1?game=POCKET&format=standard&set=A1,27,0.07%,55 - 77 - 0,41.67%
Wigglytuff ex Starmie ex,/decks/wigglytuff-ex-starmie-ex-a1?game=POCKET&format=standard&set=A1,26,0.07%,58 - 66 - 3,45.67%
Raichu Magneton,/decks/raichu-magneton-a1?game=POCKET&format=standard&set=A1,26,0.07%,47 - 73 - 1,38.84%
Charizard ex Rapidash,/decks/charizard-ex-rapidash-a1?game=POCKET&format=standard&set=A1,26,0.07%,36 - 62 - 1,36.36%
Nidoqueen Nidoking,/decks/nidoqueen-nidoking-a1?game=POCKET&format=standard&set=A1,26,0.07%,30 - 66 - 0,31.25%
Machamp ex Persian,/decks/machamp-ex-persian-a1?game=POCKET&format=standard&set=A1,25,0.06%,52 - 46 - 1,52.53%
Golem Dugtrio,/decks/golem-dugtrio-a1?game=POCKET&format=standard&set=A1,25,0.06%,52 - 64 - 2,44.07%
Arcanine ex Ninetales,/decks/arcanine-ex-ninetales-a1?game=POCKET&format=standard&set=A1,25,0.06%,40 - 53 - 0,43.01%
Exeggutor ex Greninja,/decks/exeggutor-ex-greninja-a1?game=POCKET&format=standard&set=A1,25,0.06%,41 - 55 - 1,42.27%
Zapdos ex Zebstrika,/decks/zapdos-ex-zebstrika-a1?game=POCKET&format=standard&set=A1,24,0.06%,35 - 64 - 2,34.65%
Dragonite Articuno ex,/decks/dragonite-articuno-ex-a1?game=POCKET&format=standard&set=A1,24,0.06%,38 - 72 - 0,34.55%
Mewtwo ex Alakazam,/decks/mewtwo-ex-alakazam-a1?game=POCKET&format=standard&set=A1,24,0.06%,27 - 54 - 0,33.33%
Blastoise ex Snorlax,/decks/blastoise-ex-snorlax-a1?game=POCKET&format=standard&set=A1,23,0.06%,26 - 50 - 1,33.77%
Exeggutor ex Vileplume,/decks/exeggutor-ex-vileplume-a1?game=POCKET&format=standard&set=A1,22,0.06%,57 - 56 - 3,49.14%
Machamp ex Onix,/decks/machamp-ex-onix-a1?game=POCKET&format=standard&set=A1,22,0.06%,47 - 51 - 1,47.47%
Zapdos ex Jolteon,/decks/zapdos-ex-jolteon-a1?game=POCKET&format=standard&set=A1,22,0.06%,40 - 54 - 2,41.67%
Wigglytuff ex Dugtrio,/decks/wigglytuff-ex-dugtrio-a1?game=POCKET&format=standard&set=A1,22,0.06%,38 - 53 - 2,40.86%
Wigglytuff ex Pidgeot,/decks/wigglytuff-ex-pidgeot-a1?game=POCKET&format=standard&set=A1,22,0.06%,35 - 56 - 0,38.46%
Weezing Melmetal,/decks/weezing-melmetal-a1?game=POCKET&format=standard&set=A1,22,0.06%,31 - 50 - 0,38.27%
Blastoise ex Frosmoth,/decks/blastoise-ex-frosmoth-a1?game=POCKET&format=standard&set=A1,21,0.05%,40 - 58 - 1,40.40%
Venusaur ex Weezing,/decks/venusaur-ex-weezing-a1?game=POCKET&format=standard&set=A1,21,0.05%,48 - 71 - 1,40.00%
Articuno ex Omastar,/decks/articuno-ex-omastar-a1?game=POCKET&format=standard&set=A1,20,0.05%,58 - 50 - 0,53.70%
Machamp ex Kabutops,/decks/machamp-ex-kabutops-a1?game=POCKET&format=standard&set=A1,20,0.05%,48 - 59 - 1,44.44%
Dragonite Greninja,/decks/dragonite-greninja-a1?game=POCKET&format=standard&set=A1,20,0.05%,34 - 50 - 0,40.48%
Alakazam Hypno,/decks/alakazam-hypno-a1?game=POCKET&format=standard&set=A1,20,0.05%,35 - 58 - 0,37.63%
Bisharp Melmetal,/decks/bisharp-melmetal-a1?game=POCKET&format=standard&set=A1,20,0.05%,24 - 50 - 1,32.00%
Blastoise ex Tentacruel,/decks/blastoise-ex-tentacruel-a1?game=POCKET&format=standard&set=A1,19,0.05%,46 - 48 - 0,48.94%
Blastoise ex Kangaskhan,/decks/blastoise-ex-kangaskhan-a1?game=POCKET&format=standard&set=A1,19,0.05%,28 - 39 - 1,41.18%
Marowak ex Wigglytuff ex,/decks/marowak-ex-wigglytuff-ex-a1?game=POCKET&format=standard&set=A1,19,0.05%,26 - 43 - 0,37.68%
Wigglytuff ex Melmetal,/decks/wigglytuff-ex-melmetal-a1?game=POCKET&format=standard&set=A1,19,0.05%,32 - 53 - 1,37.21%
Dragonite Jolteon,/decks/dragonite-jolteon-a1?game=POCKET&format=standard&set=A1,19,0.05%,24 - 53 - 0,31.17%
Mewtwo ex Gengar ex,/decks/mewtwo-ex-gengar-ex-a1?game=POCKET&format=standard&set=A1,19,0.05%,15 - 41 - 1,26.32%
Blastoise ex Articuno,/decks/blastoise-ex-articuno-a1?game=POCKET&format=standard&set=A1,18,0.05%,47 - 42 - 0,52.81%
Greninja Flareon,/decks/greninja-flareon-a1?game=POCKET&format=standard&set=A1,18,0.05%,51 - 46 - 1,52.04%
Moltres ex Ninetales,/decks/moltres-ex-ninetales-a1?game=POCKET&format=standard&set=A1,18,0.05%,39 - 51 - 2,42.39%
Articuno ex Dragonite,/decks/articuno-ex-dragonite-a1?game=POCKET&format=standard&set=A1,18,0.05%,17 - 34 - 0,33.33%
Articuno ex Lapras ex,/decks/articuno-ex-a1-lapras-ex-p-a?game=POCKET&format=standard&set=A1,17,0.04%,43 - 47 - 1,47.25%
Moltres ex Arcanine ex,/decks/moltres-ex-arcanine-ex-a1?game=POCKET&format=standard&set=A1,17,0.04%,31 - 42 - 2,41.33%
Starmie ex Wigglytuff ex,/decks/starmie-ex-wigglytuff-ex-a1?game=POCKET&format=standard&set=A1,17,0.04%,24 - 39 - 0,38.10%
Lapras ex Starmie ex,/decks/lapras-ex-p-a-starmie-ex-a1?game=POCKET&format=standard&set=A1,17,0.04%,25 - 46 - 0,35.21%
Venusaur ex Venusaur,/decks/venusaur-ex-venusaur-a1?game=POCKET&format=standard&set=A1,17,0.04%,24 - 50 - 0,32.43%
Alakazam Persian,/decks/alakazam-persian-a1?game=POCKET&format=standard&set=A1,17,0.04%,14 - 37 - 0,27.45%
Venusaur ex Caterpie,/decks/venusaur-ex-caterpie-a1?game=POCKET&format=standard&set=A1,17,0.04%,15 - 47 - 0,24.19%
Machamp ex Kangaskhan,/decks/machamp-ex-kangaskhan-a1?game=POCKET&format=standard&set=A1,16,0.04%,46 - 40 - 0,53.49%
Electrode Jolteon,/decks/electrode-jolteon-a1?game=POCKET&format=standard&set=A1,16,0.04%,26 - 33 - 0,44.07%
Gengar ex Kangaskhan,/decks/gengar-ex-kangaskhan-a1?game=POCKET&format=standard&set=A1,16,0.04%,33 - 43 - 5,40.74%
Gardevoir Mewtwo,/decks/gardevoir-mewtwo-a1?game=POCKET&format=standard&set=A1,16,0.04%,20 - 30 - 0,40.00%
Mewtwo ex Weezing,/decks/mewtwo-ex-weezing-a1?game=POCKET&format=standard&set=A1,16,0.04%,23 - 40 - 1,35.94%
Gengar ex Gardevoir,/decks/gengar-ex-gardevoir-a1?game=POCKET&format=standard&set=A1,16,0.04%,16 - 36 - 0,30.77%
Dragonite Snorlax,/decks/dragonite-snorlax-a1?game=POCKET&format=standard&set=A1,16,0.04%,18 - 43 - 0,29.51%
Greninja Jolteon,/decks/greninja-jolteon-a1?game=POCKET&format=standard&set=A1,15,0.04%,40 - 29 - 1,57.14%
Melmetal Mawile,/decks/melmetal-mawile-a1?game=POCKET&format=standard&set=A1,15,0.04%,36 - 37 - 0,49.32%
Exeggutor ex Pidgeot,/decks/exeggutor-ex-pidgeot-a1?game=POCKET&format=standard&set=A1,15,0.04%,19 - 32 - 0,37.25%
Dragonite Mewtwo,/decks/dragonite-mewtwo-a1?game=POCKET&format=standard&set=A1,15,0.04%,22 - 37 - 2,36.07%
Articuno ex Frosmoth,/decks/articuno-ex-frosmoth-a1?game=POCKET&format=standard&set=A1,15,0.04%,24 - 43 - 2,34.78%
Ninetales Farfetch'd,/decks/ninetales-farfetchd-a1?game=POCKET&format=standard&set=A1,14,0.04%,32 - 31 - 1,50.00%
Wigglytuff ex Arcanine ex,/decks/wigglytuff-ex-arcanine-ex-a1?game=POCKET&format=standard&set=A1,14,0.04%,30 - 32 - 0,48.39%
Greninja Arbok,/decks/greninja-arbok-a1?game=POCKET&format=standard&set=A1,14,0.04%,21 - 24 - 0,46.67%
Greninja Melmetal,/decks/greninja-melmetal-a1?game=POCKET&format=standard&set=A1,14,0.04%,25 - 32 - 1,43.10%
Zapdos ex Raichu,/decks/zapdos-ex-raichu-a1?game=POCKET&format=standard&set=A1,14,0.04%,19 - 35 - 1,34.55%
Venusaur ex Exeggutor,/decks/venusaur-ex-exeggutor-a1?game=POCKET&format=standard&set=A1,14,0.04%,18 - 39 - 1,31.03%
Greninja Grapploct,/decks/greninja-grapploct-a1?game=POCKET&format=standard&set=A1,14,0.04%,12 - 33 - 1,26.09%
Starmie ex,/decks/starmie-ex-a1?game=POCKET&format=standard&set=A1,13,0.03%,45 - 40 - 1,52.33%
Machoke Kabuto,/decks/machoke-kabuto-a1?game=POCKET&format=standard&set=A1,13,0.03%,27 - 26 - 0,50.94%
Starmie ex Kingler,/decks/starmie-ex-kingler-a1?game=POCKET&format=standard&set=A1,13,0.03%,33 - 32 - 1,50.00%
Sandslash Kabutops,/decks/sandslash-kabutops-a1?game=POCKET&format=standard&set=A1,13,0.03%,30 - 30 - 1,49.18%
Zebstrika Pikachu ex,/decks/zebstrika-pikachu-ex-a1?game=POCKET&format=standard&set=A1,13,0.03%,24 - 28 - 0,46.15%
Arbok Pidgeot,/decks/arbok-pidgeot-a1?game=POCKET&format=standard&set=A1,13,0.03%,34 - 40 - 0,45.95%
Zapdos ex Golbat,/decks/zapdos-ex-golbat-a1?game=POCKET&format=standard&set=A1,13,0.03%,34 - 43 - 0,44.16%
Greninja Bruxish,/decks/greninja-bruxish-a1?game=POCKET&format=standard&set=A1,13,0.03%,21 - 27 - 1,42.86%
Greninja Dragonite,/decks/greninja-dragonite-a1?game=POCKET&format=standard&set=A1,13,0.03%,25 - 36 - 0,40.98%
Blastoise ex Lapras ex,/decks/blastoise-ex-a1-lapras-ex-p-a?game=POCKET&format=standard&set=A1,13,0.03%,19 - 35 - 0,35.19%
Alakazam Gardevoir,/decks/alakazam-gardevoir-a1?game=POCKET&format=standard&set=A1,13,0.03%,19 - 41 - 1,31.15%
Marowak ex Onix,/decks/marowak-ex-onix-a1?game=POCKET&format=standard&set=A1,12,0.03%,32 - 33 - 0,49.23%
Dragonite Wigglytuff ex,/decks/dragonite-wigglytuff-ex-a1?game=POCKET&format=standard&set=A1,12,0.03%,29 - 31 - 1,47.54%
Pidgeot Weezing,/decks/pidgeot-weezing-a1?game=POCKET&format=standard&set=A1,12,0.03%,16 - 31 - 0,34.04%
Gengar ex Alakazam,/decks/gengar-ex-alakazam-a1?game=POCKET&format=standard&set=A1,12,0.03%,17 - 38 - 0,30.91%
Dragonite Jigglypuff,/decks/dragonite-a1-jigglypuff-p-a?game=POCKET&format=standard&set=A1,12,0.03%,12 - 27 - 0,30.77%
Blastoise ex Wigglytuff ex,/decks/blastoise-ex-wigglytuff-ex-a1?game=POCKET&format=standard&set=A1,12,0.03%,13 - 31 - 0,29.55%
Butterfree Melmetal,/decks/butterfree-melmetal-a1?game=POCKET&format=standard&set=A1,12,0.03%,13 - 31 - 0,29.55%
Dragonite Lapras,/decks/dragonite-lapras-a1?game=POCKET&format=standard&set=A1,12,0.03%,10 - 25 - 0,28.57%
Charizard ex Ninetales,/decks/charizard-ex-ninetales-a1?game=POCKET&format=standard&set=A1,12,0.03%,13 - 34 - 0,27.66%
Greninja Golduck,/decks/greninja-golduck-a1?game=POCKET&format=standard&set=A1,11,0.03%,30 - 23 - 0,56.60%
Lapras ex,/decks/lapras-ex-p-a?game=POCKET&format=standard&set=A1,11,0.03%,25 - 21 - 0,54.35%
Wigglytuff ex Marowak ex,/decks/wigglytuff-ex-marowak-ex-a1?game=POCKET&format=standard&set=A1,11,0.03%,34 - 28 - 2,53.13%
Articuno ex Aerodactyl,/decks/articuno-ex-aerodactyl-a1?game=POCKET&format=standard&set=A1,11,0.03%,27 - 24 - 1,51.92%
Arcanine ex Charizard ex,/decks/arcanine-ex-charizard-ex-a1?game=POCKET&format=standard&set=A1,11,0.03%,34 - 33 - 1,50.00%
Starmie ex Blastoise ex,/decks/starmie-ex-blastoise-ex-a1?game=POCKET&format=standard&set=A1,11,0.03%,28 - 28 - 1,49.12%
Gengar ex Farfetch'd,/decks/gengar-ex-farfetchd-a1?game=POCKET&format=standard&set=A1,11,0.03%,26 - 29 - 0,47.27%
Moltres ex Charizard ex,/decks/moltres-ex-charizard-ex-a1?game=POCKET&format=standard&set=A1,11,0.03%,28 - 33 - 3,43.75%
Kingler Seaking,/decks/kingler-seaking-a1?game=POCKET&format=standard&set=A1,11,0.03%,22 - 30 - 3,40.00%
Weezing Arbok,/decks/weezing-arbok-a1?game=POCKET&format=standard&set=A1,11,0.03%,17 - 26 - 1,38.64%
Gengar ex Wigglytuff ex,/decks/gengar-ex-wigglytuff-ex-a1?game=POCKET&format=standard&set=A1,11,0.03%,17 - 28 - 0,37.78%
Alakazam Wigglytuff ex,/decks/alakazam-wigglytuff-ex-a1?game=POCKET&format=standard&set=A1,11,0.03%,16 - 28 - 1,35.56%
Alakazam Arbok,/decks/alakazam-arbok-a1?game=POCKET&format=standard&set=A1,11,0.03%,16 - 31 - 0,34.04%
Alakazam Jynx,/decks/alakazam-jynx-a1?game=POCKET&format=standard&set=A1,11,0.03%,16 - 35 - 0,31.37%
Dragonite Tentacruel,/decks/dragonite-tentacruel-a1?game=POCKET&format=standard&set=A1,11,0.03%,7 - 31 - 0,18.42%
Marowak ex Golem,/decks/marowak-ex-golem-a1?game=POCKET&format=standard&set=A1,10,0.03%,34 - 27 - 1,54.84%
Starmie ex Hypno,/decks/starmie-ex-hypno-a1?game=POCKET&format=standard&set=A1,10,0.03%,26 - 24 - 0,52.00%
Machamp ex Golbat,/decks/machamp-ex-golbat-a1?game=POCKET&format=standard&set=A1,10,0.03%,27 - 28 - 0,49.09%
Greninja Lapras ex,/decks/greninja-a1-lapras-ex-p-a?game=POCKET&format=standard&set=A1,10,0.03%,26 - 32 - 0,44.83%
Exeggutor ex Exeggutor,/decks/exeggutor-ex-exeggutor-a1?game=POCKET&format=standard&set=A1,10,0.03%,21 - 27 - 1,42.86%
Starmie ex Omastar,/decks/starmie-ex-omastar-a1?game=POCKET&format=standard&set=A1,10,0.03%,20 - 27 - 0,42.55%
Gengar ex Golbat,/decks/gengar-ex-golbat-a1?game=POCKET&format=standard&set=A1,10,0.03%,18 - 26 - 0,40.91%
Electrode Pikachu ex,/decks/electrode-pikachu-ex-a1?game=POCKET&format=standard&set=A1,10,0.03%,15 - 23 - 0,39.47%
Wigglytuff ex Jolteon,/decks/wigglytuff-ex-jolteon-a1?game=POCKET&format=standard&set=A1,10,0.03%,15 - 23 - 0,39.47%
Gengar ex Pidgeot,/decks/gengar-ex-pidgeot-a1?game=POCKET&format=standard&set=A1,10,0.03%,19 - 32 - 0,37.25%
Electrode Zebstrika,/decks/electrode-zebstrika-a1?game=POCKET&format=standard&set=A1,10,0.03%,15 - 26 - 0,36.59%
