Deck,Count,Share,Score,Win_Percentage,Deck_links
Umbreon ex Eevee ex,96,0.65%,207 - 223 - 6,47.48%,/decks/umbreon-ex-a4-eevee-ex-a3b?game=POCKET&format=standard&set=A4a
Solgaleo ex Entei ex,92,0.63%,199 - 224 - 15,45.43%,/decks/solgaleo-ex-a3-entei-ex-a4a?game=POCKET&format=standard&set=A4a
Charizard ex Sylveon ex,92,0.63%,177 - 214 - 7,44.47%,/decks/charizard-ex-a2b-sylveon-ex-a3b?game=POCKET&format=standard&set=A4a
Guzzlord ex Naganadel,89,0.61%,239 - 208 - 14,51.84%,/decks/guzzlord-ex-naganadel-a3a?game=POCKET&format=standard&set=A4a
Buzzwole ex Celesteela,79,0.54%,229 - 197 - 14,52.05%,/decks/buzzwole-ex-celesteela-a3a?game=POCKET&format=standard&set=A4a
Crobat ex Darkrai ex,76,0.52%,194 - 196 - 2,49.49%,/decks/crobat-ex-a4-darkrai-ex-a2?game=POCKET&format=standard&set=A4a
Snorlax ex Darkrai ex,75,0.51%,203 - 176 - 9,52.32%,/decks/snorlax-ex-a3b-darkrai-ex-a2?game=POCKET&format=standard&set=A4a
Raikou ex Arceus ex,69,0.47%,166 - 173 - 5,48.26%,/decks/raikou-ex-a4a-arceus-ex-a2a?game=POCKET&format=standard&set=A4a
Mewtwo ex Gardevoir,68,0.46%,112 - 156 - 3,41.33%,/decks/mewtwo-ex-gardevoir-a1?game=POCKET&format=standard&set=A4a
Skarmory ex,61,0.42%,156 - 161 - 9,47.85%,/decks/skarmory-ex-a4?game=POCKET&format=standard&set=A4a
Suicune ex Palkia ex,58,0.39%,143 - 146 - 3,48.97%,/decks/suicune-ex-a4a-palkia-ex-a2?game=POCKET&format=standard&set=A4a
Incineroar ex,56,0.38%,138 - 142 - 8,47.92%,/decks/incineroar-ex-a3?game=POCKET&format=standard&set=A4a
Silvally Oricorio,55,0.37%,140 - 126 - 5,51.66%,/decks/silvally-a3a-oricorio-a3?game=POCKET&format=standard&set=A4a
Flareon ex Sylveon ex,54,0.37%,162 - 155 - 11,49.39%,/decks/flareon-ex-sylveon-ex-a3b?game=POCKET&format=standard&set=A4a
Weavile ex Darkrai ex,53,0.36%,128 - 129 - 1,49.61%,/decks/weavile-ex-darkrai-ex-a2?game=POCKET&format=standard&set=A4a
Crobat ex Nihilego,53,0.36%,125 - 139 - 5,46.47%,/decks/crobat-ex-a4-nihilego-a3a?game=POCKET&format=standard&set=A4a
Snorlax ex Ho-Oh ex,50,0.34%,131 - 118 - 2,52.19%,/decks/snorlax-ex-a3b-ho-oh-ex-a4?game=POCKET&format=standard&set=A4a
Suicune ex Gyarados,47,0.32%,101 - 120 - 4,44.89%,/decks/suicune-ex-a4a-gyarados-a4?game=POCKET&format=standard&set=A4a
Silvally Giratina ex,46,0.31%,107 - 116 - 3,47.35%,/decks/silvally-a3a-giratina-ex-a2b?game=POCKET&format=standard&set=A4a
Alolan Raichu ex Raikou ex,46,0.31%,107 - 118 - 2,47.14%,/decks/alolan-raichu-ex-a3-raikou-ex-a4a?game=POCKET&format=standard&set=A4a
Meowscarada,45,0.31%,68 - 102 - 0,40.00%,/decks/meowscarada-a2b?game=POCKET&format=standard&set=A4a
Pikachu ex Raikou ex,44,0.30%,113 - 113 - 5,48.92%,/decks/pikachu-ex-a2b-raikou-ex-a4a?game=POCKET&format=standard&set=A4a
Charizard ex Moltres ex,44,0.30%,87 - 100 - 3,45.79%,/decks/charizard-ex-moltres-ex-a1?game=POCKET&format=standard&set=A4a
Flareon ex Leafeon ex,42,0.29%,66 - 98 - 1,40.00%,/decks/flareon-ex-a3b-leafeon-ex-a2a?game=POCKET&format=standard&set=A4a
Donphan ex Rampardos,40,0.27%,99 - 97 - 2,50.00%,/decks/donphan-ex-a4-rampardos-a2?game=POCKET&format=standard&set=A4a
Infernape ex Entei ex,40,0.27%,80 - 89 - 4,46.24%,/decks/infernape-ex-a2-entei-ex-a4a?game=POCKET&format=standard&set=A4a
Lugia ex Ho-Oh ex,39,0.27%,75 - 100 - 2,42.37%,/decks/lugia-ex-ho-oh-ex-a4?game=POCKET&format=standard&set=A4a
Donphan ex Lucario,39,0.27%,69 - 94 - 1,42.07%,/decks/donphan-ex-a4-lucario-a2?game=POCKET&format=standard&set=A4a
Pikachu ex Oricorio,37,0.25%,103 - 99 - 3,50.24%,/decks/pikachu-ex-a1-oricorio-a3?game=POCKET&format=standard&set=A4a
Arceus ex Oricorio,37,0.25%,65 - 80 - 4,43.62%,/decks/arceus-ex-a2a-oricorio-a3?game=POCKET&format=standard&set=A4a
Arceus ex Tapu Koko ex,36,0.25%,123 - 85 - 7,57.21%,/decks/arceus-ex-a2a-tapu-koko-ex-a3a?game=POCKET&format=standard&set=A4a
Sylveon ex Greninja,33,0.22%,63 - 89 - 2,40.91%,/decks/sylveon-ex-a3b-greninja-a1?game=POCKET&format=standard&set=A4a
Suicune ex Milotic,32,0.22%,71 - 86 - 1,44.94%,/decks/suicune-ex-milotic-a4a?game=POCKET&format=standard&set=A4a
Slurpuff Alcremie,30,0.20%,72 - 83 - 0,46.45%,/decks/slurpuff-alcremie-a3b?game=POCKET&format=standard&set=A4a
Arceus ex Crobat,29,0.20%,67 - 69 - 2,48.55%,/decks/arceus-ex-crobat-a2a?game=POCKET&format=standard&set=A4a
Giratina ex Silvally,29,0.20%,66 - 74 - 3,46.15%,/decks/giratina-ex-a2b-silvally-a3a?game=POCKET&format=standard&set=A4a
Charizard ex Entei ex,28,0.19%,75 - 69 - 3,51.02%,/decks/charizard-ex-a2b-entei-ex-a4a?game=POCKET&format=standard&set=A4a
Suicune ex Greninja,28,0.19%,83 - 72 - 13,49.40%,/decks/suicune-ex-a4a-greninja-a4b?game=POCKET&format=standard&set=A4a
Pikachu ex Oricorio,27,0.18%,88 - 65 - 8,54.66%,/decks/pikachu-ex-a2b-oricorio-a3?game=POCKET&format=standard&set=A4a
Solgaleo ex Raikou ex,27,0.18%,65 - 70 - 2,47.45%,/decks/solgaleo-ex-a3-raikou-ex-a4a?game=POCKET&format=standard&set=A4a
Giratina ex Latias,26,0.18%,67 - 72 - 1,47.86%,/decks/giratina-ex-a2b-latias-a4a?game=POCKET&format=standard&set=A4a
Pikachu ex Zebstrika,25,0.17%,69 - 64 - 0,51.88%,/decks/pikachu-ex-zebstrika-a1?game=POCKET&format=standard&set=A4a
Poliwrath ex Politoed,25,0.17%,43 - 64 - 2,39.45%,/decks/poliwrath-ex-a4a-politoed-a4?game=POCKET&format=standard&set=A4a
Guzzlord ex Nihilego,24,0.16%,59 - 57 - 3,49.58%,/decks/guzzlord-ex-nihilego-a3a?game=POCKET&format=standard&set=A4a
Meowscarada Decidueye ex,24,0.16%,44 - 63 - 0,41.12%,/decks/meowscarada-a2b-decidueye-ex-a3?game=POCKET&format=standard&set=A4a
Altaria Silvally,24,0.16%,37 - 62 - 0,37.37%,/decks/altaria-a4a-silvally-a3a?game=POCKET&format=standard&set=A4a
Solgaleo ex Shiinotic,23,0.16%,64 - 60 - 3,50.39%,/decks/solgaleo-ex-a3-shiinotic-a3a?game=POCKET&format=standard&set=A4a
Exeggutor ex Celebi ex,23,0.16%,45 - 57 - 2,43.27%,/decks/exeggutor-ex-a1-celebi-ex-a1a?game=POCKET&format=standard&set=A4a
Garchomp ex Garchomp,23,0.16%,38 - 51 - 1,42.22%,/decks/garchomp-ex-a2a-garchomp-a2?game=POCKET&format=standard&set=A4a
Garchomp ex Rampardos,23,0.16%,44 - 62 - 1,41.12%,/decks/garchomp-ex-a2a-rampardos-a2?game=POCKET&format=standard&set=A4a
Pikachu ex,23,0.16%,36 - 54 - 3,38.71%,/decks/pikachu-ex-a1?game=POCKET&format=standard&set=A4a
Solgaleo ex Suicune ex,23,0.16%,37 - 62 - 2,36.63%,/decks/solgaleo-ex-a3-suicune-ex-a4a?game=POCKET&format=standard&set=A4a
Magcargo,21,0.14%,35 - 56 - 2,37.63%,/decks/magcargo-a4?game=POCKET&format=standard&set=A4a
Celebi ex Serperior,21,0.14%,25 - 62 - 0,28.74%,/decks/celebi-ex-serperior-a1a?game=POCKET&format=standard&set=A4a
Tapu Koko ex Raikou ex,20,0.14%,44 - 49 - 0,47.31%,/decks/tapu-koko-ex-a3a-raikou-ex-a4a?game=POCKET&format=standard&set=A4a
Espeon ex Eevee ex,20,0.14%,38 - 48 - 1,43.68%,/decks/espeon-ex-a4-eevee-ex-a3b?game=POCKET&format=standard&set=A4a
Arceus ex Darkrai ex,19,0.13%,36 - 39 - 2,46.75%,/decks/arceus-ex-a2a-darkrai-ex-a2?game=POCKET&format=standard&set=A4a
Tapu Koko ex,19,0.13%,37 - 46 - 3,43.02%,/decks/tapu-koko-ex-a3a?game=POCKET&format=standard&set=A4a
Suicune ex Magnezone,19,0.13%,32 - 42 - 3,41.56%,/decks/suicune-ex-a4a-magnezone-a2?game=POCKET&format=standard&set=A4a
Beedrill ex Beedrill,19,0.13%,35 - 54 - 0,39.33%,/decks/beedrill-ex-a2b-beedrill-a1?game=POCKET&format=standard&set=A4a
Flareon ex Flareon,18,0.12%,38 - 43 - 0,46.91%,/decks/flareon-ex-a3b-flareon-a1?game=POCKET&format=standard&set=A4a
Raikou ex Luxray,18,0.12%,35 - 42 - 1,44.87%,/decks/raikou-ex-a4a-luxray-a2?game=POCKET&format=standard&set=A4a
Incineroar ex Entei ex,18,0.12%,37 - 46 - 1,44.05%,/decks/incineroar-ex-a3-entei-ex-a4a?game=POCKET&format=standard&set=A4a
Sylveon ex Solgaleo ex,18,0.12%,37 - 49 - 0,43.02%,/decks/sylveon-ex-a3b-solgaleo-ex-a3?game=POCKET&format=standard&set=A4a
Pikachu ex Zapdos ex,17,0.12%,49 - 45 - 2,51.04%,/decks/pikachu-ex-zapdos-ex-a1?game=POCKET&format=standard&set=A4a
Sylveon ex Eevee ex,17,0.12%,38 - 43 - 0,46.91%,/decks/sylveon-ex-eevee-ex-a3b?game=POCKET&format=standard&set=A4a
Umbreon ex Umbreon,17,0.12%,32 - 45 - 1,41.03%,/decks/umbreon-ex-a4-umbreon-a3b?game=POCKET&format=standard&set=A4a
Jumpluff ex Oricorio,17,0.12%,24 - 39 - 1,37.50%,/decks/jumpluff-ex-a4a-oricorio-a3?game=POCKET&format=standard&set=A4a
Poliwrath ex Lucario,17,0.12%,26 - 42 - 2,37.14%,/decks/poliwrath-ex-a4a-lucario-a2?game=POCKET&format=standard&set=A4a
Darkrai ex Miltank,17,0.12%,27 - 46 - 0,36.99%,/decks/darkrai-ex-a2-miltank-a4a?game=POCKET&format=standard&set=A4a
Giratina ex Darkrai ex,16,0.11%,49 - 35 - 4,55.68%,/decks/giratina-ex-darkrai-ex-a4b?game=POCKET&format=standard&set=A4a
Gyarados ex Suicune ex,16,0.11%,28 - 39 - 0,41.79%,/decks/gyarados-ex-a1a-suicune-ex-a4a?game=POCKET&format=standard&set=A4a
Greninja Suicune ex,16,0.11%,24 - 42 - 1,35.82%,/decks/greninja-a1-suicune-ex-a4a?game=POCKET&format=standard&set=A4a
Magcargo Magby,15,0.10%,39 - 34 - 1,52.70%,/decks/magcargo-magby-a4?game=POCKET&format=standard&set=A4a
Porygon-Z,14,0.10%,33 - 33 - 2,48.53%,/decks/porygon-z-a4?game=POCKET&format=standard&set=A4a
Naganadel Guzzlord ex,14,0.10%,35 - 35 - 5,46.67%,/decks/naganadel-guzzlord-ex-a3a?game=POCKET&format=standard&set=A4a
Primarina ex Primarina,14,0.10%,17 - 32 - 0,34.69%,/decks/primarina-ex-a3b-primarina-a3?game=POCKET&format=standard&set=A4a
Wugtrio ex Suicune ex,13,0.09%,28 - 31 - 0,47.46%,/decks/wugtrio-ex-a2b-suicune-ex-a4a?game=POCKET&format=standard&set=A4a
Silvally Arceus ex,13,0.09%,29 - 33 - 1,46.03%,/decks/silvally-a3a-arceus-ex-a2a?game=POCKET&format=standard&set=A4a
Suicune ex Gyarados ex,13,0.09%,28 - 32 - 1,45.90%,/decks/suicune-ex-a4a-gyarados-ex-a1a?game=POCKET&format=standard&set=A4a
Suicune ex Silvally,13,0.09%,27 - 32 - 0,45.76%,/decks/suicune-ex-a4a-silvally-a3a?game=POCKET&format=standard&set=A4a
Giratina ex Mewtwo ex,12,0.08%,26 - 26 - 0,50.00%,/decks/giratina-ex-a2b-mewtwo-ex-a1?game=POCKET&format=standard&set=A4a
Crobat ex Umbreon ex,12,0.08%,30 - 34 - 0,46.88%,/decks/crobat-ex-umbreon-ex-a4?game=POCKET&format=standard&set=A4a
Dragonite ex Mantyke,12,0.08%,22 - 23 - 2,46.81%,/decks/dragonite-ex-a3b-mantyke-a4a?game=POCKET&format=standard&set=A4a
Sylveon ex Stoutland,12,0.08%,25 - 28 - 1,46.30%,/decks/sylveon-ex-a3b-stoutland-a3a?game=POCKET&format=standard&set=A4a
Solgaleo ex Galarian Cursola,12,0.08%,25 - 32 - 5,40.32%,/decks/solgaleo-ex-a3-galarian-cursola-a4a?game=POCKET&format=standard&set=A4a
Gyarados ex Mantyke,12,0.08%,16 - 26 - 1,37.21%,/decks/gyarados-ex-a1a-mantyke-a4a?game=POCKET&format=standard&set=A4a
Silvally Darkrai ex,12,0.08%,17 - 29 - 0,36.96%,/decks/silvally-a3a-darkrai-ex-a2?game=POCKET&format=standard&set=A4a
Lugia ex Altaria,12,0.08%,16 - 30 - 0,34.78%,/decks/lugia-ex-a4-altaria-a4a?game=POCKET&format=standard&set=A4a
Raichu ex Alolan Raichu ex,11,0.07%,29 - 27 - 1,50.88%,/decks/raichu-ex-p-a-alolan-raichu-ex-a3?game=POCKET&format=standard&set=A4a
Giratina ex Greninja,11,0.07%,33 - 32 - 2,49.25%,/decks/giratina-ex-a2b-greninja-a1?game=POCKET&format=standard&set=A4a
Primarina ex,11,0.07%,30 - 28 - 4,48.39%,/decks/primarina-ex-a3b?game=POCKET&format=standard&set=A4a
Tapu Koko ex Arceus ex,11,0.07%,17 - 21 - 0,44.74%,/decks/tapu-koko-ex-a3a-arceus-ex-a2a?game=POCKET&format=standard&set=A4a
Suicune ex Sylveon ex,11,0.07%,21 - 24 - 3,43.75%,/decks/suicune-ex-a4a-sylveon-ex-a3b?game=POCKET&format=standard&set=A4a
Magnezone Raikou ex,11,0.07%,20 - 33 - 0,37.74%,/decks/magnezone-a2-raikou-ex-a4a?game=POCKET&format=standard&set=A4a
Gyarados ex Gyarados,11,0.07%,16 - 25 - 2,37.21%,/decks/gyarados-ex-a1a-gyarados-a1?game=POCKET&format=standard&set=A4a
Darkrai ex Silvally,11,0.07%,18 - 31 - 0,36.73%,/decks/darkrai-ex-a2-silvally-a3a?game=POCKET&format=standard&set=A4a
Lucario Rampardos,10,0.07%,24 - 20 - 1,53.33%,/decks/lucario-rampardos-a2?game=POCKET&format=standard&set=A4a
Solgaleo ex Skarmory,10,0.07%,23 - 25 - 2,46.00%,/decks/solgaleo-ex-a3-skarmory-a2?game=POCKET&format=standard&set=A4a
Sylveon ex Togekiss,10,0.07%,20 - 30 - 1,39.22%,/decks/sylveon-ex-a3b-togekiss-a2?game=POCKET&format=standard&set=A4a
Umbreon ex Darkrai ex,10,0.07%,14 - 22 - 0,38.89%,/decks/umbreon-ex-a4-darkrai-ex-a2?game=POCKET&format=standard&set=A4a
Dugtrio Lucario,10,0.07%,17 - 26 - 1,38.64%,/decks/dugtrio-a4a-lucario-a2?game=POCKET&format=standard&set=A4a
Moltres ex Entei ex,10,0.07%,12 - 25 - 0,32.43%,/decks/moltres-ex-a1-entei-ex-a4a?game=POCKET&format=standard&set=A4a
Meowscarada Pheromosa,10,0.07%,12 - 25 - 0,32.43%,/decks/meowscarada-a2b-pheromosa-a3a?game=POCKET&format=standard&set=A4a
Skarmory ex Skarmory,10,0.07%,11 - 22 - 1,32.35%,/decks/skarmory-ex-a4-skarmory-a2?game=POCKET&format=standard&set=A4a
Ho-Oh ex Lugia ex,10,0.07%,11 - 29 - 0,27.50%,/decks/ho-oh-ex-lugia-ex-a4?game=POCKET&format=standard&set=A4a
Garchomp ex Sylveon ex,9,0.06%,26 - 22 - 0,54.17%,/decks/garchomp-ex-a2a-sylveon-ex-a3b?game=POCKET&format=standard&set=A4a
Darkrai ex Magnezone,9,0.06%,19 - 19 - 0,50.00%,/decks/darkrai-ex-magnezone-a2?game=POCKET&format=standard&set=A4a
Jumpluff ex Glaceon ex,9,0.06%,18 - 23 - 0,43.90%,/decks/jumpluff-ex-a4a-glaceon-ex-a2a?game=POCKET&format=standard&set=A4a
Lunala ex Giratina ex,9,0.06%,17 - 26 - 0,39.53%,/decks/lunala-ex-a3-giratina-ex-a2b?game=POCKET&format=standard&set=A4a
Pikachu ex Arceus ex,9,0.06%,19 - 30 - 0,38.78%,/decks/pikachu-ex-a2b-arceus-ex-a2a?game=POCKET&format=standard&set=A4a
Suicune ex Primarina ex,9,0.06%,15 - 23 - 1,38.46%,/decks/suicune-ex-a4a-primarina-ex-a3b?game=POCKET&format=standard&set=A4a
Jumpluff ex Snorlax ex,9,0.06%,13 - 24 - 0,35.14%,/decks/jumpluff-ex-a4a-snorlax-ex-a3b?game=POCKET&format=standard&set=A4a
Darkrai ex Giratina ex,9,0.06%,10 - 19 - 0,34.48%,/decks/darkrai-ex-a2-giratina-ex-a2b?game=POCKET&format=standard&set=A4a
Giratina ex,9,0.06%,12 - 23 - 0,34.29%,/decks/giratina-ex-a2b?game=POCKET&format=standard&set=A4a
Entei ex Magby,9,0.06%,11 - 22 - 0,33.33%,/decks/entei-ex-a4a-magby-a4?game=POCKET&format=standard&set=A4a
Paldean Clodsire ex Nihilego,9,0.06%,8 - 21 - 0,27.59%,/decks/paldean-clodsire-ex-a2b-nihilego-a3a?game=POCKET&format=standard&set=A4a
Ho-Oh ex Celebi ex,9,0.06%,9 - 27 - 2,23.68%,/decks/ho-oh-ex-a4-celebi-ex-a1a?game=POCKET&format=standard&set=A4a
Dragonite ex,8,0.05%,21 - 19 - 0,52.50%,/decks/dragonite-ex-a3b?game=POCKET&format=standard&set=A4a
Arceus ex Raikou ex,8,0.05%,20 - 20 - 0,50.00%,/decks/arceus-ex-a2a-raikou-ex-a4a?game=POCKET&format=standard&set=A4a
Gallade ex Lucario,8,0.05%,23 - 24 - 0,48.94%,/decks/gallade-ex-lucario-a2?game=POCKET&format=standard&set=A4a
Crabominable ex Palkia ex,8,0.05%,20 - 20 - 1,48.78%,/decks/crabominable-ex-a3-palkia-ex-a2?game=POCKET&format=standard&set=A4a
Tsareena,8,0.05%,20 - 20 - 4,45.45%,/decks/tsareena-a3b?game=POCKET&format=standard&set=A4a
Skarmory ex Wigglytuff,8,0.05%,14 - 17 - 0,45.16%,/decks/skarmory-ex-a4-wigglytuff-a2b?game=POCKET&format=standard&set=A4a
Jumpluff ex Sylveon ex,8,0.05%,15 - 18 - 1,44.12%,/decks/jumpluff-ex-a4a-sylveon-ex-a3b?game=POCKET&format=standard&set=A4a
Flareon ex Jolteon,8,0.05%,16 - 19 - 2,43.24%,/decks/flareon-ex-a3b-jolteon-a1?game=POCKET&format=standard&set=A4a
Aerodactyl ex Rampardos,8,0.05%,14 - 21 - 0,40.00%,/decks/aerodactyl-ex-a1a-rampardos-a2?game=POCKET&format=standard&set=A4a
Leafeon ex Alolan Exeggutor,8,0.05%,13 - 23 - 0,36.11%,/decks/leafeon-ex-a2a-alolan-exeggutor-a3?game=POCKET&format=standard&set=A4a
Miltank,8,0.05%,7 - 24 - 0,22.58%,/decks/miltank-a4a?game=POCKET&format=standard&set=A4a
Palkia ex Gyarados,7,0.05%,26 - 16 - 3,57.78%,/decks/palkia-ex-a2-gyarados-a4?game=POCKET&format=standard&set=A4a
Alolan Exeggutor Leafeon,7,0.05%,23 - 15 - 3,56.10%,/decks/alolan-exeggutor-a3-leafeon-a2?game=POCKET&format=standard&set=A4a
Ho-Oh ex Snorlax ex,7,0.05%,23 - 18 - 1,54.76%,/decks/ho-oh-ex-a4-snorlax-ex-a3b?game=POCKET&format=standard&set=A4a
Sylveon ex Magnezone,7,0.05%,19 - 16 - 0,54.29%,/decks/sylveon-ex-a3b-magnezone-a2?game=POCKET&format=standard&set=A4a
Jumpluff ex Raikou ex,7,0.05%,16 - 14 - 0,53.33%,/decks/jumpluff-ex-raikou-ex-a4a?game=POCKET&format=standard&set=A4a
Darkrai ex Guzzlord ex,7,0.05%,20 - 19 - 0,51.28%,/decks/darkrai-ex-a2-guzzlord-ex-a3a?game=POCKET&format=standard&set=A4a
Leafeon ex Sylveon ex,7,0.05%,15 - 17 - 0,46.88%,/decks/leafeon-ex-a2a-sylveon-ex-a3b?game=POCKET&format=standard&set=A4a
Giratina ex Galarian Cursola,7,0.05%,18 - 22 - 0,45.00%,/decks/giratina-ex-a2b-galarian-cursola-a4a?game=POCKET&format=standard&set=A4a
Silvally Pikachu ex,7,0.05%,12 - 16 - 0,42.86%,/decks/silvally-a3a-pikachu-ex-a2b?game=POCKET&format=standard&set=A4a
Dragonite ex Pichu,7,0.05%,13 - 18 - 0,41.94%,/decks/dragonite-ex-a3b-pichu-a4?game=POCKET&format=standard&set=A4a
Guzzlord ex Darkrai ex,7,0.05%,10 - 14 - 1,40.00%,/decks/guzzlord-ex-a3a-darkrai-ex-a2?game=POCKET&format=standard&set=A4a
Entei ex Typhlosion,7,0.05%,9 - 15 - 0,37.50%,/decks/entei-ex-a4a-typhlosion-a4?game=POCKET&format=standard&set=A4a
Dragonite ex Suicune ex,7,0.05%,11 - 19 - 0,36.67%,/decks/dragonite-ex-a3b-suicune-ex-a4a?game=POCKET&format=standard&set=A4a
Darkrai ex Tyranitar,7,0.05%,10 - 18 - 0,35.71%,/decks/darkrai-ex-a2-tyranitar-a4?game=POCKET&format=standard&set=A4a
Pikachu ex Tapu Koko ex,7,0.05%,9 - 20 - 0,31.03%,/decks/pikachu-ex-a1-tapu-koko-ex-a3a?game=POCKET&format=standard&set=A4a
Solgaleo ex Skarmory ex,7,0.05%,3 - 18 - 0,14.29%,/decks/solgaleo-ex-a3-skarmory-ex-a4?game=POCKET&format=standard&set=A4a
Alolan Raichu ex Dialga ex,6,0.04%,19 - 15 - 0,55.88%,/decks/alolan-raichu-ex-a3-dialga-ex-a2?game=POCKET&format=standard&set=A4a
Ampharos Raikou ex,6,0.04%,20 - 15 - 1,55.56%,/decks/ampharos-a4-raikou-ex-a4a?game=POCKET&format=standard&set=A4a
Raikou ex Alolan Raichu ex,6,0.04%,18 - 15 - 0,54.55%,/decks/raikou-ex-a4a-alolan-raichu-ex-a3?game=POCKET&format=standard&set=A4a
Jumpluff ex Darkrai ex,6,0.04%,18 - 15 - 0,54.55%,/decks/jumpluff-ex-a4a-darkrai-ex-a2?game=POCKET&format=standard&set=A4a
Ninetales Rapidash,6,0.04%,16 - 14 - 0,53.33%,/decks/ninetales-rapidash-a1?game=POCKET&format=standard&set=A4a
Starmie ex Articuno ex,6,0.04%,16 - 14 - 0,53.33%,/decks/starmie-ex-articuno-ex-a1?game=POCKET&format=standard&set=A4a
Togekiss Cleffa,6,0.04%,16 - 16 - 0,50.00%,/decks/togekiss-a2-cleffa-a4?game=POCKET&format=standard&set=A4a
Wishiwashi ex Wishiwashi,6,0.04%,14 - 15 - 0,48.28%,/decks/wishiwashi-ex-wishiwashi-a3?game=POCKET&format=standard&set=A4a
Sylveon ex Leafeon ex,6,0.04%,11 - 13 - 0,45.83%,/decks/sylveon-ex-a3b-leafeon-ex-a2a?game=POCKET&format=standard&set=A4a
Garchomp Mantyke,6,0.04%,16 - 18 - 1,45.71%,/decks/garchomp-a2-mantyke-a4a?game=POCKET&format=standard&set=A4a
Entei ex Flareon ex,6,0.04%,12 - 16 - 0,42.86%,/decks/entei-ex-a4a-flareon-ex-a3b?game=POCKET&format=standard&set=A4a
Crobat ex Sylveon ex,6,0.04%,13 - 18 - 0,41.94%,/decks/crobat-ex-a4-sylveon-ex-a3b?game=POCKET&format=standard&set=A4a
