Deck,Count,Share,Score,Win_Percentage,Deck_links
Blastoise ex Manaphy,145,0.38%,307 - 361 - 7,45.48%,/decks/blastoise-ex-a1-manaphy-a2?game=POCKET&format=standard&set=A2a
Arceus ex Abomasnow,134,0.35%,256 - 301 - 0,45.96%,/decks/arceus-ex-abomasnow-a2a?game=POCKET&format=standard&set=A2a
Mew ex Dialga ex,132,0.35%,356 - 298 - 10,53.61%,/decks/mew-ex-a1a-dialga-ex-a2?game=POCKET&format=standard&set=A2a
Infernape ex Moltres ex,123,0.33%,235 - 302 - 2,43.60%,/decks/infernape-ex-a2-moltres-ex-a1?game=POCKET&format=standard&set=A2a
Palkia ex Manaphy,113,0.30%,247 - 259 - 5,48.34%,/decks/palkia-ex-manaphy-a2?game=POCKET&format=standard&set=A2a
Palkia ex Glaceon ex,108,0.29%,203 - 254 - 2,44.23%,/decks/palkia-ex-a2-glaceon-ex-a2a?game=POCKET&format=standard&set=A2a
Lucario Sudowoodo,107,0.28%,248 - 262 - 5,48.16%,/decks/lucario-a2-sudowoodo-a2a?game=POCKET&format=standard&set=A2a
Darkrai ex Crobat,101,0.27%,172 - 238 - 3,41.65%,/decks/darkrai-ex-a2-crobat-a2a?game=POCKET&format=standard&set=A2a
Celebi ex Serperior,101,0.27%,185 - 263 - 1,41.20%,/decks/celebi-ex-serperior-a1a?game=POCKET&format=standard&set=A2a
Garchomp ex Gallade ex,101,0.27%,155 - 297 - 4,33.99%,/decks/garchomp-ex-a2a-gallade-ex-a2?game=POCKET&format=standard&set=A2a
Magnezone Arceus ex,90,0.24%,178 - 210 - 2,45.64%,/decks/magnezone-a2-arceus-ex-a2a?game=POCKET&format=standard&set=A2a
Glaceon ex Palkia ex,86,0.23%,161 - 217 - 3,42.26%,/decks/glaceon-ex-a2a-palkia-ex-a2?game=POCKET&format=standard&set=A2a
Magnezone Darkrai ex,80,0.21%,177 - 197 - 7,46.46%,/decks/magnezone-darkrai-ex-a2?game=POCKET&format=standard&set=A2a
Garchomp ex Aerodactyl ex,80,0.21%,163 - 194 - 0,45.66%,/decks/garchomp-ex-a2a-aerodactyl-ex-a1a?game=POCKET&format=standard&set=A2a
Starmie ex Articuno ex,80,0.21%,154 - 198 - 1,43.63%,/decks/starmie-ex-articuno-ex-a1?game=POCKET&format=standard&set=A2a
Garchomp ex Garchomp,74,0.20%,116 - 175 - 0,39.86%,/decks/garchomp-ex-a2a-garchomp-a2?game=POCKET&format=standard&set=A2a
Yanmega ex Dialga ex,64,0.17%,110 - 155 - 1,41.35%,/decks/yanmega-ex-dialga-ex-a2?game=POCKET&format=standard&set=A2a
Starmie ex Leafeon ex,63,0.17%,154 - 173 - 1,46.95%,/decks/starmie-ex-a1-leafeon-ex-a2a?game=POCKET&format=standard&set=A2a
Garchomp Snorlax,63,0.17%,131 - 160 - 3,44.56%,/decks/garchomp-a2-snorlax-a2a?game=POCKET&format=standard&set=A2a
Uxie Mesprit,63,0.17%,87 - 144 - 1,37.50%,/decks/uxie-mesprit-a2?game=POCKET&format=standard&set=A2a
Palkia ex Magnezone,62,0.16%,159 - 149 - 3,51.13%,/decks/palkia-ex-magnezone-a2?game=POCKET&format=standard&set=A2a
Crobat Darkrai ex,60,0.16%,129 - 163 - 2,43.88%,/decks/crobat-a2a-darkrai-ex-a2?game=POCKET&format=standard&set=A2a
Probopass ex Skarmory,58,0.15%,102 - 150 - 4,39.84%,/decks/probopass-ex-a2a-skarmory-a2?game=POCKET&format=standard&set=A2a
Pikachu ex Zebstrika,57,0.15%,130 - 131 - 3,49.24%,/decks/pikachu-ex-zebstrika-a1?game=POCKET&format=standard&set=A2a
Garchomp ex,56,0.15%,92 - 124 - 0,42.59%,/decks/garchomp-ex-a2a?game=POCKET&format=standard&set=A2a
Garchomp ex Sudowoodo,55,0.15%,128 - 130 - 2,49.23%,/decks/garchomp-ex-sudowoodo-a2a?game=POCKET&format=standard&set=A2a
Bastiodon Skarmory,54,0.14%,104 - 123 - 1,45.61%,/decks/bastiodon-skarmory-a2?game=POCKET&format=standard&set=A2a
Gyarados ex Palkia ex,54,0.14%,113 - 144 - 0,43.97%,/decks/gyarados-ex-a1a-palkia-ex-a2?game=POCKET&format=standard&set=A2a
Leafeon ex Glaceon ex,54,0.14%,95 - 128 - 1,42.41%,/decks/leafeon-ex-glaceon-ex-a2a?game=POCKET&format=standard&set=A2a
Exeggutor ex Leafeon ex,52,0.14%,84 - 129 - 4,38.71%,/decks/exeggutor-ex-a1-leafeon-ex-a2a?game=POCKET&format=standard&set=A2a
Leafeon ex Exeggutor,50,0.13%,110 - 141 - 2,43.48%,/decks/leafeon-ex-a2a-exeggutor-a1a?game=POCKET&format=standard&set=A2a
Magnezone Raichu,49,0.13%,75 - 117 - 1,38.86%,/decks/magnezone-a2-raichu-a1?game=POCKET&format=standard&set=A2a
Dialga ex Melmetal,48,0.13%,87 - 131 - 0,39.91%,/decks/dialga-ex-a2-melmetal-a1?game=POCKET&format=standard&set=A2a
Exeggutor ex Mew ex,47,0.12%,87 - 111 - 3,43.28%,/decks/exeggutor-ex-a1-mew-ex-a1a?game=POCKET&format=standard&set=A2a
Darkrai ex Weezing,47,0.12%,87 - 125 - 1,40.85%,/decks/darkrai-ex-a2-weezing-a1?game=POCKET&format=standard&set=A2a
Arceus ex Mew ex,46,0.12%,77 - 115 - 1,39.90%,/decks/arceus-ex-a2a-mew-ex-a1a?game=POCKET&format=standard&set=A2a
Dragonite Druddigon,45,0.12%,67 - 106 - 0,38.73%,/decks/dragonite-a1-druddigon-a1a?game=POCKET&format=standard&set=A2a
Gallade ex Snorlax,44,0.12%,116 - 114 - 2,50.00%,/decks/gallade-ex-a2-snorlax-a2a?game=POCKET&format=standard&set=A2a
Machamp ex Lucario,44,0.12%,106 - 110 - 2,48.62%,/decks/machamp-ex-a1-lucario-a2?game=POCKET&format=standard&set=A2a
Gyarados ex Regice,43,0.11%,112 - 97 - 0,53.59%,/decks/gyarados-ex-a1a-regice-a2?game=POCKET&format=standard&set=A2a
Magnezone Hitmonlee,43,0.11%,82 - 111 - 0,42.49%,/decks/magnezone-a2-hitmonlee-a1?game=POCKET&format=standard&set=A2a
Aerodactyl ex Lucario,41,0.11%,82 - 105 - 0,43.85%,/decks/aerodactyl-ex-a1a-lucario-a2?game=POCKET&format=standard&set=A2a
Rampardos Snorlax,38,0.10%,88 - 109 - 0,44.67%,/decks/rampardos-a2-snorlax-a2a?game=POCKET&format=standard&set=A2a
Starmie ex Glaceon ex,38,0.10%,65 - 86 - 0,43.05%,/decks/starmie-ex-a1-glaceon-ex-a2a?game=POCKET&format=standard&set=A2a
Infernape ex Heatran,37,0.10%,77 - 84 - 0,47.83%,/decks/infernape-ex-a2-heatran-a2a?game=POCKET&format=standard&set=A2a
Marowak ex Lucario,37,0.10%,55 - 103 - 0,34.81%,/decks/marowak-ex-a1-lucario-a2?game=POCKET&format=standard&set=A2a
Garchomp ex Hitmonlee,36,0.10%,37 - 87 - 1,29.60%,/decks/garchomp-ex-a2a-hitmonlee-a1?game=POCKET&format=standard&set=A2a
Palkia ex Greninja,35,0.09%,65 - 74 - 2,46.10%,/decks/palkia-ex-a2-greninja-a1?game=POCKET&format=standard&set=A2a
Glaceon ex Articuno ex,34,0.09%,73 - 85 - 0,46.20%,/decks/glaceon-ex-a2a-articuno-ex-a1?game=POCKET&format=standard&set=A2a
Magnezone Sudowoodo,34,0.09%,79 - 92 - 0,46.20%,/decks/magnezone-a2-sudowoodo-a2a?game=POCKET&format=standard&set=A2a
Arceus ex Raichu,34,0.09%,57 - 90 - 3,38.00%,/decks/arceus-ex-raichu-a2a?game=POCKET&format=standard&set=A2a
Aerodactyl ex Rampardos,33,0.09%,72 - 83 - 0,46.45%,/decks/aerodactyl-ex-a1a-rampardos-a2?game=POCKET&format=standard&set=A2a
Greninja Snorlax,33,0.09%,66 - 84 - 0,44.00%,/decks/greninja-a1-snorlax-a2a?game=POCKET&format=standard&set=A2a
Gallade ex Regirock,31,0.08%,67 - 64 - 2,50.38%,/decks/gallade-ex-regirock-a2?game=POCKET&format=standard&set=A2a
Venusaur ex Leafeon ex,31,0.08%,42 - 76 - 1,35.29%,/decks/venusaur-ex-a1-leafeon-ex-a2a?game=POCKET&format=standard&set=A2a
Blastoise ex Origin Forme Palkia,30,0.08%,81 - 68 - 0,54.36%,/decks/blastoise-ex-a1-origin-forme-palkia-a2a?game=POCKET&format=standard&set=A2a
Zapdos ex Pachirisu ex,30,0.08%,71 - 74 - 0,48.97%,/decks/zapdos-ex-a1-pachirisu-ex-a2?game=POCKET&format=standard&set=A2a
Infernape ex,30,0.08%,65 - 72 - 0,47.45%,/decks/infernape-ex-a2?game=POCKET&format=standard&set=A2a
Zapdos ex Magnezone,30,0.08%,63 - 73 - 0,46.32%,/decks/zapdos-ex-a1-magnezone-a2?game=POCKET&format=standard&set=A2a
Tyranitar Arceus ex,30,0.08%,62 - 75 - 0,45.26%,/decks/tyranitar-arceus-ex-a2a?game=POCKET&format=standard&set=A2a
Kabutops Lucario,30,0.08%,56 - 74 - 0,43.08%,/decks/kabutops-a1-lucario-a2?game=POCKET&format=standard&set=A2a
Exeggutor ex Yanmega ex,30,0.08%,57 - 80 - 1,41.30%,/decks/exeggutor-ex-a1-yanmega-ex-a2?game=POCKET&format=standard&set=A2a
Wormadam Skarmory,30,0.08%,47 - 75 - 0,38.52%,/decks/wormadam-skarmory-a2?game=POCKET&format=standard&set=A2a
Rampardos Hitmonlee,29,0.08%,50 - 74 - 1,40.00%,/decks/rampardos-a2-hitmonlee-a1?game=POCKET&format=standard&set=A2a
Charizard ex Arcanine ex,27,0.07%,68 - 53 - 0,56.20%,/decks/charizard-ex-arcanine-ex-a1?game=POCKET&format=standard&set=A2a
Primeape Lucario,27,0.07%,55 - 71 - 1,43.31%,/decks/primeape-a1a-lucario-a2?game=POCKET&format=standard&set=A2a
Arceus ex Houndoom,27,0.07%,38 - 75 - 0,33.63%,/decks/arceus-ex-houndoom-a2a?game=POCKET&format=standard&set=A2a
Pikachu ex Zapdos ex,27,0.07%,18 - 56 - 0,24.32%,/decks/pikachu-ex-zapdos-ex-a1?game=POCKET&format=standard&set=A2a
Pachirisu ex Zapdos ex,26,0.07%,56 - 66 - 0,45.90%,/decks/pachirisu-ex-a2-zapdos-ex-a1?game=POCKET&format=standard&set=A2a
Pikachu ex Pachirisu ex,26,0.07%,51 - 64 - 1,43.97%,/decks/pikachu-ex-a1-pachirisu-ex-a2?game=POCKET&format=standard&set=A2a
Garchomp,26,0.07%,44 - 71 - 1,37.93%,/decks/garchomp-a2?game=POCKET&format=standard&set=A2a
Magnezone Mew ex,26,0.07%,41 - 67 - 3,36.94%,/decks/magnezone-a2-mew-ex-a1a?game=POCKET&format=standard&set=A2a
Blastoise ex Palkia ex,24,0.06%,46 - 58 - 1,43.81%,/decks/blastoise-ex-a1-palkia-ex-a2?game=POCKET&format=standard&set=A2a
Staraptor Skarmory,24,0.06%,43 - 65 - 0,39.81%,/decks/staraptor-a2a-skarmory-a2?game=POCKET&format=standard&set=A2a
Glaceon ex Greninja,24,0.06%,40 - 64 - 0,38.46%,/decks/glaceon-ex-a2a-greninja-a1?game=POCKET&format=standard&set=A2a
Magnezone Ninetales,23,0.06%,74 - 62 - 0,54.41%,/decks/magnezone-a2-ninetales-a1?game=POCKET&format=standard&set=A2a
Greninja Arceus ex,23,0.06%,54 - 51 - 3,50.00%,/decks/greninja-a1-arceus-ex-a2a?game=POCKET&format=standard&set=A2a
Staraptor Snorlax,23,0.06%,34 - 44 - 0,43.59%,/decks/staraptor-snorlax-a2a?game=POCKET&format=standard&set=A2a
Arceus ex Palkia ex,23,0.06%,44 - 60 - 1,41.90%,/decks/arceus-ex-a2a-palkia-ex-a2?game=POCKET&format=standard&set=A2a
Leafeon ex Arceus ex,23,0.06%,39 - 55 - 0,41.49%,/decks/leafeon-ex-arceus-ex-a2a?game=POCKET&format=standard&set=A2a
Gengar Sigilyph,23,0.06%,45 - 67 - 1,39.82%,/decks/gengar-a2a-sigilyph-a1a?game=POCKET&format=standard&set=A2a
Palkia ex Mew ex,22,0.06%,41 - 56 - 0,42.27%,/decks/palkia-ex-a2-mew-ex-a1a?game=POCKET&format=standard&set=A2a
Palkia ex Gyarados ex,22,0.06%,27 - 36 - 1,42.19%,/decks/palkia-ex-a2-gyarados-ex-a1a?game=POCKET&format=standard&set=A2a
Arceus ex Dialga ex,21,0.06%,63 - 50 - 1,55.26%,/decks/arceus-ex-a2a-dialga-ex-a2?game=POCKET&format=standard&set=A2a
Rampardos Sudowoodo,21,0.06%,56 - 62 - 1,47.06%,/decks/rampardos-a2-sudowoodo-a2a?game=POCKET&format=standard&set=A2a
Arceus ex Magnezone,21,0.06%,38 - 52 - 0,42.22%,/decks/arceus-ex-magnezone-a2a?game=POCKET&format=standard&set=A2a
Lickilicky ex Dialga ex,21,0.06%,23 - 47 - 0,32.86%,/decks/lickilicky-ex-dialga-ex-a2?game=POCKET&format=standard&set=A2a
Leafeon ex Yanmega ex,20,0.05%,33 - 46 - 0,41.77%,/decks/leafeon-ex-a2a-yanmega-ex-a2?game=POCKET&format=standard&set=A2a
Dialga ex Bastiodon,20,0.05%,36 - 51 - 0,41.38%,/decks/dialga-ex-bastiodon-a2?game=POCKET&format=standard&set=A2a
Magnezone Probopass ex,19,0.05%,48 - 52 - 1,47.52%,/decks/magnezone-a2-probopass-ex-a2a?game=POCKET&format=standard&set=A2a
Luxray Manectric,19,0.05%,47 - 55 - 0,46.08%,/decks/luxray-a2-manectric-a2a?game=POCKET&format=standard&set=A2a
Leafeon ex Exeggutor ex,19,0.05%,43 - 51 - 0,45.74%,/decks/leafeon-ex-a2a-exeggutor-ex-a1?game=POCKET&format=standard&set=A2a
Blastoise ex Arceus ex,19,0.05%,28 - 44 - 0,38.89%,/decks/blastoise-ex-a1-arceus-ex-a2a?game=POCKET&format=standard&set=A2a
Pachirisu ex Magnezone,19,0.05%,26 - 46 - 0,36.11%,/decks/pachirisu-ex-magnezone-a2?game=POCKET&format=standard&set=A2a
Darkrai ex Staraptor,19,0.05%,21 - 43 - 1,32.31%,/decks/darkrai-ex-a2-staraptor-a2a?game=POCKET&format=standard&set=A2a
Gengar ex Dusknoir,19,0.05%,16 - 39 - 0,29.09%,/decks/gengar-ex-a1-dusknoir-a2?game=POCKET&format=standard&set=A2a
Gyarados ex Articuno,18,0.05%,72 - 48 - 4,58.06%,/decks/gyarados-ex-a1a-articuno-a1?game=POCKET&format=standard&set=A2a
Arceus ex Darkrai ex,18,0.05%,35 - 33 - 1,50.72%,/decks/arceus-ex-a2a-darkrai-ex-a2?game=POCKET&format=standard&set=A2a
Gyarados ex Kangaskhan,18,0.05%,44 - 42 - 2,50.00%,/decks/gyarados-ex-a1a-kangaskhan-a1?game=POCKET&format=standard&set=A2a
Pidgeot ex Dialga ex,18,0.05%,43 - 50 - 0,46.24%,/decks/pidgeot-ex-a1a-dialga-ex-a2?game=POCKET&format=standard&set=A2a
Darkrai ex Weavile ex,18,0.05%,36 - 44 - 1,44.44%,/decks/darkrai-ex-weavile-ex-a2?game=POCKET&format=standard&set=A2a
Darkrai ex Toxicroak,18,0.05%,36 - 46 - 0,43.90%,/decks/darkrai-ex-a2-toxicroak-a2a?game=POCKET&format=standard&set=A2a
Tyranitar Arceus,18,0.05%,36 - 46 - 1,43.37%,/decks/tyranitar-arceus-a2a?game=POCKET&format=standard&set=A2a
Infernape ex Giratina,18,0.05%,32 - 50 - 1,38.55%,/decks/infernape-ex-giratina-a2?game=POCKET&format=standard&set=A2a
Mismagius ex Togekiss,18,0.05%,29 - 51 - 0,36.25%,/decks/mismagius-ex-togekiss-a2?game=POCKET&format=standard&set=A2a
Arceus ex Rotom,17,0.04%,38 - 34 - 1,52.05%,/decks/arceus-ex-rotom-a2a?game=POCKET&format=standard&set=A2a
Staraptor Darkrai ex,17,0.04%,44 - 46 - 1,48.35%,/decks/staraptor-a2a-darkrai-ex-a2?game=POCKET&format=standard&set=A2a
Mismagius ex Gengar,17,0.04%,42 - 48 - 0,46.67%,/decks/mismagius-ex-a2-gengar-a2a?game=POCKET&format=standard&set=A2a
Pikachu ex Raichu,17,0.04%,36 - 42 - 0,46.15%,/decks/pikachu-ex-raichu-a1?game=POCKET&format=standard&set=A2a
Togekiss Sigilyph,17,0.04%,40 - 48 - 0,45.45%,/decks/togekiss-a2-sigilyph-a1a?game=POCKET&format=standard&set=A2a
Gyarados ex Articuno ex,17,0.04%,24 - 40 - 0,37.50%,/decks/gyarados-ex-a1a-articuno-ex-a1?game=POCKET&format=standard&set=A2a
Pidgeot ex Pidgeot,17,0.04%,21 - 41 - 0,33.87%,/decks/pidgeot-ex-a1a-pidgeot-a1?game=POCKET&format=standard&set=A2a
Arceus ex Skarmory,16,0.04%,37 - 38 - 0,49.33%,/decks/arceus-ex-a2a-skarmory-a2?game=POCKET&format=standard&set=A2a
Arceus ex Hitmonlee,16,0.04%,33 - 38 - 0,46.48%,/decks/arceus-ex-a2a-hitmonlee-a1?game=POCKET&format=standard&set=A2a
Golem,16,0.04%,33 - 39 - 0,45.83%,/decks/golem-a1a?game=POCKET&format=standard&set=A2a
Magnezone Electivire,16,0.04%,23 - 34 - 0,40.35%,/decks/magnezone-electivire-a2?game=POCKET&format=standard&set=A2a
Ninetales Rapidash,16,0.04%,24 - 40 - 0,37.50%,/decks/ninetales-rapidash-a1?game=POCKET&format=standard&set=A2a
Arcanine ex Moltres ex,16,0.04%,19 - 35 - 0,35.19%,/decks/arcanine-ex-moltres-ex-a1?game=POCKET&format=standard&set=A2a
Starmie ex Greninja,16,0.04%,19 - 40 - 0,32.20%,/decks/starmie-ex-greninja-a1?game=POCKET&format=standard&set=A2a
Staraptor,16,0.04%,11 - 34 - 0,24.44%,/decks/staraptor-a2a?game=POCKET&format=standard&set=A2a
Gyarados ex Arceus ex,15,0.04%,33 - 35 - 0,48.53%,/decks/gyarados-ex-a1a-arceus-ex-a2a?game=POCKET&format=standard&set=A2a
Leafeon ex Magnezone,15,0.04%,44 - 52 - 1,45.36%,/decks/leafeon-ex-a2a-magnezone-a2?game=POCKET&format=standard&set=A2a
Garchomp Kangaskhan,15,0.04%,23 - 34 - 0,40.35%,/decks/garchomp-a2-kangaskhan-a1?game=POCKET&format=standard&set=A2a
Celebi ex Exeggutor ex,15,0.04%,25 - 39 - 0,39.06%,/decks/celebi-ex-a1a-exeggutor-ex-a1?game=POCKET&format=standard&set=A2a
Venusaur ex Shaymin,15,0.04%,21 - 41 - 0,33.87%,/decks/venusaur-ex-a1-shaymin-a2?game=POCKET&format=standard&set=A2a
Dragonite Magnezone,15,0.04%,16 - 38 - 0,29.63%,/decks/dragonite-a1-magnezone-a2?game=POCKET&format=standard&set=A2a
Blastoise ex Articuno ex,14,0.04%,28 - 32 - 1,45.90%,/decks/blastoise-ex-articuno-ex-a1?game=POCKET&format=standard&set=A2a
Leafeon ex Darkrai ex,14,0.04%,28 - 35 - 0,44.44%,/decks/leafeon-ex-a2a-darkrai-ex-a2?game=POCKET&format=standard&set=A2a
Tyranitar Regirock,14,0.04%,29 - 37 - 0,43.94%,/decks/tyranitar-a2a-regirock-a2?game=POCKET&format=standard&set=A2a
Articuno ex Arceus ex,14,0.04%,26 - 36 - 0,41.94%,/decks/articuno-ex-a1-arceus-ex-a2a?game=POCKET&format=standard&set=A2a
Garchomp Druddigon,14,0.04%,28 - 39 - 0,41.79%,/decks/garchomp-a2-druddigon-a1a?game=POCKET&format=standard&set=A2a
Gengar ex Gengar,14,0.04%,30 - 42 - 1,41.10%,/decks/gengar-ex-a1-gengar-a2a?game=POCKET&format=standard&set=A2a
Luxray Snorlax,14,0.04%,19 - 28 - 0,40.43%,/decks/luxray-a2-snorlax-a2a?game=POCKET&format=standard&set=A2a
Magnezone Mewtwo ex,14,0.04%,18 - 34 - 0,34.62%,/decks/magnezone-a2-mewtwo-ex-a1?game=POCKET&format=standard&set=A2a
Magnezone Arceus ex,13,0.03%,37 - 34 - 0,52.11%,/decks/magnezone-arceus-ex-a2a?game=POCKET&format=standard&set=A2a
Pachirisu ex Manectric,13,0.03%,31 - 31 - 0,50.00%,/decks/pachirisu-ex-a2-manectric-a2a?game=POCKET&format=standard&set=A2a
Gyarados ex,13,0.03%,27 - 27 - 1,49.09%,/decks/gyarados-ex-a1a?game=POCKET&format=standard&set=A2a
Greninja Origin Forme Palkia,13,0.03%,43 - 46 - 0,48.31%,/decks/greninja-a1-origin-forme-palkia-a2a?game=POCKET&format=standard&set=A2a
Venusaur ex Exeggutor ex,13,0.03%,25 - 34 - 0,42.37%,/decks/venusaur-ex-exeggutor-ex-a1?game=POCKET&format=standard&set=A2a
Primeape Rampardos,13,0.03%,24 - 34 - 0,41.38%,/decks/primeape-a1-rampardos-a2?game=POCKET&format=standard&set=A2a
Celebi ex Leafeon ex,13,0.03%,21 - 33 - 0,38.89%,/decks/celebi-ex-a1a-leafeon-ex-a2a?game=POCKET&format=standard&set=A2a
Staraptor Arceus ex,13,0.03%,11 - 21 - 1,33.33%,/decks/staraptor-arceus-ex-a2a?game=POCKET&format=standard&set=A2a
Arceus ex Exeggutor,12,0.03%,24 - 30 - 1,43.64%,/decks/arceus-ex-a2a-exeggutor-a1?game=POCKET&format=standard&set=A2a
Dugtrio Lucario,12,0.03%,26 - 33 - 1,43.33%,/decks/dugtrio-a1-lucario-a2?game=POCKET&format=standard&set=A2a
Crobat Arceus ex,12,0.03%,22 - 30 - 0,42.31%,/decks/crobat-arceus-ex-a2a?game=POCKET&format=standard&set=A2a
