,Deck,Count,Share,Score,Win_Percentage,Deck_links
44,Pidgeot ex Dialga ex,106,0.25%,181 - 264 - 3,40.40%,/decks/pidgeot-ex-a1a-dialga-ex-a2?game=POCKET&format=standard&set=A2
45,Gyarados ex Palkia ex,103,0.25%,236 - 253 - 1,48.16%,/decks/gyarados-ex-a1a-palkia-ex-a2?game=POCKET&format=standard&set=A2
46,Aerodactyl ex Rampardos,101,0.24%,229 - 253 - 4,47.12%,/decks/aerodactyl-ex-a1a-rampardos-a2?game=POCKET&format=standard&set=A2
47,Arcanine ex Moltres ex,101,0.24%,140 - 208 - 4,39.77%,/decks/arcanine-ex-moltres-ex-a1?game=POCKET&format=standard&set=A2
48,Palkia ex Magnezone,99,0.24%,238 - 222 - 1,51.63%,/decks/palkia-ex-magnezone-a2?game=POCKET&format=standard&set=A2
49,Darkrai ex Weavile ex,94,0.22%,177 - 220 - 0,44.58%,/decks/darkrai-ex-weavile-ex-a2?game=POCKET&format=standard&set=A2
50,Garchomp,94,0.22%,199 - 259 - 1,43.36%,/decks/garchomp-a2?game=POCKET&format=standard&set=A2
51,Marowak ex Lucario,93,0.22%,182 - 233 - 4,43.44%,/decks/marowak-ex-a1-lucario-a2?game=POCKET&format=standard&set=A2
52,Charizard ex Arcanine ex,93,0.22%,151 - 214 - 4,40.92%,/decks/charizard-ex-arcanine-ex-a1?game=POCKET&format=standard&set=A2
53,Dragonite Druddigon,89,0.21%,125 - 188 - 2,39.68%,/decks/dragonite-a1-druddigon-a1a?game=POCKET&format=standard&set=A2
54,Exeggutor ex Magnezone,86,0.20%,162 - 222 - 4,41.75%,/decks/exeggutor-ex-a1-magnezone-a2?game=POCKET&format=standard&set=A2
55,Mismagius ex Mew ex,84,0.20%,166 - 206 - 0,44.62%,/decks/mismagius-ex-a2-mew-ex-a1a?game=POCKET&format=standard&set=A2
56,Wigglytuff ex Dialga ex,84,0.20%,135 - 196 - 2,40.54%,/decks/wigglytuff-ex-a1-dialga-ex-a2?game=POCKET&format=standard&set=A2
57,Togekiss Mew ex,78,0.19%,129 - 191 - 0,40.31%,/decks/togekiss-a2-mew-ex-a1a?game=POCKET&format=standard&set=A2
58,Kabutops Lucario,77,0.18%,136 - 189 - 5,41.21%,/decks/kabutops-a1-lucario-a2?game=POCKET&format=standard&set=A2
59,Machamp ex Lucario,77,0.18%,136 - 199 - 0,40.60%,/decks/machamp-ex-a1-lucario-a2?game=POCKET&format=standard&set=A2
60,Mismagius ex Togekiss,77,0.18%,115 - 184 - 0,38.46%,/decks/mismagius-ex-togekiss-a2?game=POCKET&format=standard&set=A2
61,Infernape ex,74,0.18%,135 - 180 - 2,42.59%,/decks/infernape-ex-a2?game=POCKET&format=standard&set=A2
62,Pachirisu ex Magnezone,69,0.16%,154 - 166 - 2,47.83%,/decks/pachirisu-ex-magnezone-a2?game=POCKET&format=standard&set=A2
63,Magnezone Zapdos ex,69,0.16%,145 - 169 - 0,46.18%,/decks/magnezone-a2-zapdos-ex-a1?game=POCKET&format=standard&set=A2
64,Infernape ex Giratina,68,0.16%,116 - 153 - 0,43.12%,/decks/infernape-ex-giratina-a2?game=POCKET&format=standard&set=A2
65,Yanmega ex Mew ex,66,0.16%,131 - 159 - 1,45.02%,/decks/yanmega-ex-a2-mew-ex-a1a?game=POCKET&format=standard&set=A2
66,Ninetales Rapidash,64,0.15%,126 - 164 - 3,43.00%,/decks/ninetales-a1-rapidash-a1a?game=POCKET&format=standard&set=A2
67,Scolipede Weezing,64,0.15%,99 - 157 - 3,38.22%,/decks/scolipede-a1a-weezing-a1?game=POCKET&format=standard&set=A2
68,Dialga ex Bastiodon,62,0.15%,115 - 145 - 3,43.73%,/decks/dialga-ex-bastiodon-a2?game=POCKET&format=standard&set=A2
69,Togekiss Sigilyph,61,0.15%,96 - 153 - 1,38.40%,/decks/togekiss-a2-sigilyph-a1a?game=POCKET&format=standard&set=A2
70,Magnezone Mewtwo ex,60,0.14%,154 - 134 - 2,53.10%,/decks/magnezone-a2-mewtwo-ex-a1?game=POCKET&format=standard&set=A2
71,Dialga ex Mew ex,59,0.14%,121 - 161 - 0,42.91%,/decks/dialga-ex-a2-mew-ex-a1a?game=POCKET&format=standard&set=A2
72,Dialga ex Yanmega ex,58,0.14%,127 - 147 - 1,46.18%,/decks/dialga-ex-yanmega-ex-a2?game=POCKET&format=standard&set=A2
73,Venusaur ex Exeggutor ex,58,0.14%,112 - 142 - 1,43.92%,/decks/venusaur-ex-exeggutor-ex-a1?game=POCKET&format=standard&set=A2
74,Blastoise ex Palkia ex,56,0.13%,96 - 134 - 3,41.20%,/decks/blastoise-ex-a1-palkia-ex-a2?game=POCKET&format=standard&set=A2
75,Weavile ex Weezing,55,0.13%,91 - 135 - 3,39.74%,/decks/weavile-ex-a2-weezing-a1?game=POCKET&format=standard&set=A2
76,Articuno ex Vaporeon,54,0.13%,128 - 140 - 0,47.76%,/decks/articuno-ex-a1-vaporeon-a1a?game=POCKET&format=standard&set=A2
77,Venusaur ex Shaymin,53,0.13%,85 - 130 - 4,38.81%,/decks/venusaur-ex-a1-shaymin-a2?game=POCKET&format=standard&set=A2
78,Ninetales Rapidash,51,0.12%,93 - 119 - 1,43.66%,/decks/ninetales-rapidash-a1?game=POCKET&format=standard&set=A2
79,Dragonite Magnezone,50,0.12%,102 - 112 - 0,47.66%,/decks/dragonite-a1-magnezone-a2?game=POCKET&format=standard&set=A2
80,Aerodactyl ex Farfetch'd,49,0.12%,118 - 120 - 0,49.58%,/decks/aerodactyl-ex-a1a-farfetchd-a1?game=POCKET&format=standard&set=A2
81,Weezing Darkrai ex,49,0.12%,90 - 123 - 8,40.72%,/decks/weezing-a1-darkrai-ex-a2?game=POCKET&format=standard&set=A2
82,Starmie ex Lumineon,49,0.12%,79 - 121 - 0,39.50%,/decks/starmie-ex-a1-lumineon-a1a?game=POCKET&format=standard&set=A2
83,Gyarados ex Articuno ex,47,0.11%,67 - 99 - 4,39.41%,/decks/gyarados-ex-a1a-articuno-ex-a1?game=POCKET&format=standard&set=A2
84,Golem Druddigon,47,0.11%,74 - 121 - 1,37.76%,/decks/golem-druddigon-a1a?game=POCKET&format=standard&set=A2
85,Greninja Gyarados ex,46,0.11%,89 - 106 - 1,45.41%,/decks/greninja-a1-gyarados-ex-a1a?game=POCKET&format=standard&set=A2
86,Infernape ex Spiritomb,46,0.11%,87 - 109 - 2,43.94%,/decks/infernape-ex-spiritomb-a2?game=POCKET&format=standard&set=A2
87,Pachirisu ex Zapdos ex,45,0.11%,124 - 95 - 3,55.86%,/decks/pachirisu-ex-a2-zapdos-ex-a1?game=POCKET&format=standard&set=A2
88,Magnezone Druddigon,45,0.11%,103 - 100 - 1,50.49%,/decks/magnezone-a2-druddigon-a1a?game=POCKET&format=standard&set=A2
89,Greninja Darkrai ex,45,0.11%,100 - 113 - 2,46.51%,/decks/greninja-a1-darkrai-ex-a2?game=POCKET&format=standard&set=A2
90,Dialga ex Lickilicky ex,45,0.11%,50 - 106 - 1,31.85%,/decks/dialga-ex-lickilicky-ex-a2?game=POCKET&format=standard&set=A2
91,Mismagius ex Magnezone,44,0.10%,115 - 98 - 2,53.49%,/decks/mismagius-ex-magnezone-a2?game=POCKET&format=standard&set=A2
92,Primeape Lucario,44,0.10%,91 - 109 - 2,45.05%,/decks/primeape-a1-lucario-a2?game=POCKET&format=standard&set=A2
93,Yanmega ex Skarmory,43,0.10%,112 - 102 - 5,51.14%,/decks/yanmega-ex-skarmory-a2?game=POCKET&format=standard&set=A2
94,Greninja Mew ex,42,0.10%,72 - 87 - 4,44.17%,/decks/greninja-a1-mew-ex-a1a?game=POCKET&format=standard&set=A2
95,Starmie ex Gyarados ex,41,0.10%,81 - 111 - 2,41.75%,/decks/starmie-ex-a1-gyarados-ex-a1a?game=POCKET&format=standard&set=A2
96,Pikachu ex Raichu,41,0.10%,52 - 96 - 0,35.14%,/decks/pikachu-ex-raichu-a1?game=POCKET&format=standard&set=A2
97,Zapdos ex Magnezone,39,0.09%,98 - 96 - 2,50.00%,/decks/zapdos-ex-a1-magnezone-a2?game=POCKET&format=standard&set=A2
98,Magnezone Marshadow,39,0.09%,75 - 91 - 0,45.18%,/decks/magnezone-a2-marshadow-a1a?game=POCKET&format=standard&set=A2
99,Yanmega ex Magnezone,39,0.09%,62 - 80 - 0,43.66%,/decks/yanmega-ex-magnezone-a2?game=POCKET&format=standard&set=A2
100,Gallade ex,38,0.09%,92 - 93 - 0,49.73%,/decks/gallade-ex-a2?game=POCKET&format=standard&set=A2
101,Darkrai ex Arbok,38,0.09%,92 - 96 - 2,48.42%,/decks/darkrai-ex-a2-arbok-a1?game=POCKET&format=standard&set=A2
102,Dialga ex Skarmory,38,0.09%,96 - 106 - 0,47.52%,/decks/dialga-ex-skarmory-a2?game=POCKET&format=standard&set=A2
103,Garchomp Kangaskhan,38,0.09%,65 - 78 - 0,45.45%,/decks/garchomp-a2-kangaskhan-a1?game=POCKET&format=standard&set=A2
104,Vaporeon Articuno ex,37,0.09%,81 - 96 - 3,45.00%,/decks/vaporeon-a1a-articuno-ex-a1?game=POCKET&format=standard&set=A2
105,Palkia ex,36,0.09%,105 - 89 - 0,54.12%,/decks/palkia-ex-a2?game=POCKET&format=standard&set=A2
106,Greninja Druddigon,36,0.09%,79 - 93 - 0,45.93%,/decks/greninja-a1-druddigon-a1a?game=POCKET&format=standard&set=A2
107,Garchomp Aerodactyl ex,36,0.09%,67 - 79 - 0,45.89%,/decks/garchomp-a2-aerodactyl-ex-a1a?game=POCKET&format=standard&set=A2
108,Garchomp Greninja,35,0.08%,56 - 82 - 2,40.00%,/decks/garchomp-a2-greninja-a1?game=POCKET&format=standard&set=A2
109,Garchomp Glameow,35,0.08%,50 - 78 - 0,39.06%,/decks/garchomp-glameow-a2?game=POCKET&format=standard&set=A2
110,Infernape ex Heatmor,34,0.08%,68 - 75 - 0,47.55%,/decks/infernape-ex-a2-heatmor-a1?game=POCKET&format=standard&set=A2
111,Pachirisu ex Luxray,34,0.08%,73 - 78 - 3,47.40%,/decks/pachirisu-ex-luxray-a2?game=POCKET&format=standard&set=A2
112,Dialga ex Magnezone,34,0.08%,78 - 95 - 3,44.32%,/decks/dialga-ex-magnezone-a2?game=POCKET&format=standard&set=A2
113,Celebi ex Exeggutor ex,34,0.08%,38 - 80 - 0,32.20%,/decks/celebi-ex-a1a-exeggutor-ex-a1?game=POCKET&format=standard&set=A2
114,Palkia ex Gyarados ex,31,0.07%,93 - 90 - 3,50.00%,/decks/palkia-ex-a2-gyarados-ex-a1a?game=POCKET&format=standard&set=A2
115,Magnezone Ninetales,31,0.07%,79 - 82 - 1,48.77%,/decks/magnezone-a2-ninetales-a1?game=POCKET&format=standard&set=A2
116,Togekiss,31,0.07%,42 - 69 - 0,37.84%,/decks/togekiss-a2?game=POCKET&format=standard&set=A2
117,Pikachu ex,31,0.07%,27 - 62 - 0,30.34%,/decks/pikachu-ex-a1?game=POCKET&format=standard&set=A2
118,Magnezone Farfetch'd,30,0.07%,81 - 70 - 3,52.60%,/decks/magnezone-a2-farfetchd-a1?game=POCKET&format=standard&set=A2
119,Darkrai ex Farfetch'd,30,0.07%,64 - 70 - 1,47.41%,/decks/darkrai-ex-a2-farfetchd-a1?game=POCKET&format=standard&set=A2
120,Venusaur ex Butterfree,30,0.07%,38 - 76 - 1,33.04%,/decks/venusaur-ex-butterfree-a1?game=POCKET&format=standard&set=A2
121,Palkia ex Empoleon,29,0.07%,57 - 76 - 1,42.54%,/decks/palkia-ex-empoleon-a2?game=POCKET&format=standard&set=A2
122,Zapdos ex Pachirisu ex,29,0.07%,57 - 83 - 1,40.43%,/decks/zapdos-ex-a1-pachirisu-ex-a2?game=POCKET&format=standard&set=A2
123,Pidgeot ex Pidgeot,29,0.07%,47 - 76 - 0,38.21%,/decks/pidgeot-ex-a1a-pidgeot-a1?game=POCKET&format=standard&set=A2
124,Darkrai ex Scolipede,29,0.07%,47 - 79 - 0,37.30%,/decks/darkrai-ex-a2-scolipede-a1a?game=POCKET&format=standard&set=A2
125,Greninja Tauros,28,0.07%,60 - 58 - 1,50.42%,/decks/greninja-a1-tauros-a1a?game=POCKET&format=standard&set=A2
126,Machamp ex,28,0.07%,66 - 71 - 3,47.14%,/decks/machamp-ex-a1?game=POCKET&format=standard&set=A2
127,Garchomp Farfetch'd,28,0.07%,64 - 75 - 0,46.04%,/decks/garchomp-a2-farfetchd-a1?game=POCKET&format=standard&set=A2
128,Lucario Hitmonlee,27,0.06%,68 - 65 - 0,51.13%,/decks/lucario-a2-hitmonlee-a1?game=POCKET&format=standard&set=A2
129,Aerodactyl ex Primeape,27,0.06%,48 - 63 - 0,43.24%,/decks/aerodactyl-ex-primeape-a1a?game=POCKET&format=standard&set=A2
130,Lucario Hitmonchan,27,0.06%,47 - 66 - 0,41.59%,/decks/lucario-a2-hitmonchan-a1?game=POCKET&format=standard&set=A2
131,Victreebel Vespiquen,27,0.06%,41 - 59 - 1,40.59%,/decks/victreebel-a1-vespiquen-a2?game=POCKET&format=standard&set=A2
132,Uxie Mesprit,27,0.06%,24 - 50 - 0,32.43%,/decks/uxie-mesprit-a2?game=POCKET&format=standard&set=A2
133,Exeggutor ex Serperior,26,0.06%,64 - 63 - 0,50.39%,/decks/exeggutor-ex-a1-serperior-a1a?game=POCKET&format=standard&set=A2
134,Exeggutor ex Venusaur ex,26,0.06%,58 - 58 - 0,50.00%,/decks/exeggutor-ex-venusaur-ex-a1?game=POCKET&format=standard&set=A2
135,Pachirisu ex Zebstrika,26,0.06%,61 - 69 - 0,46.92%,/decks/pachirisu-ex-a2-zebstrika-a1?game=POCKET&format=standard&set=A2
136,Greninja Farfetch'd,26,0.06%,51 - 58 - 1,46.36%,/decks/greninja-farfetchd-a1?game=POCKET&format=standard&set=A2
137,Lucario Rampardos,25,0.06%,67 - 58 - 0,53.60%,/decks/lucario-rampardos-a2?game=POCKET&format=standard&set=A2
138,Arbok Weezing,25,0.06%,53 - 60 - 2,46.09%,/decks/arbok-weezing-a1?game=POCKET&format=standard&set=A2
139,Gallade ex Mew ex,25,0.06%,40 - 54 - 0,42.55%,/decks/gallade-ex-a2-mew-ex-a1a?game=POCKET&format=standard&set=A2
140,Articuno ex Greninja,25,0.06%,42 - 64 - 1,39.25%,/decks/articuno-ex-greninja-a1?game=POCKET&format=standard&set=A2
141,Lickilicky ex Greninja,24,0.06%,59 - 64 - 1,47.58%,/decks/lickilicky-ex-a2-greninja-a1?game=POCKET&format=standard&set=A2
142,Golem Lucario,24,0.06%,28 - 63 - 2,30.11%,/decks/golem-a1a-lucario-a2?game=POCKET&format=standard&set=A2
143,Infernape ex Farfetch'd,23,0.05%,50 - 58 - 0,46.30%,/decks/infernape-ex-a2-farfetchd-a1?game=POCKET&format=standard&set=A2
144,Garchomp Mew ex,23,0.05%,38 - 59 - 0,39.18%,/decks/garchomp-a2-mew-ex-a1a?game=POCKET&format=standard&set=A2
145,Exeggutor ex Victreebel,23,0.05%,40 - 69 - 1,36.36%,/decks/exeggutor-ex-victreebel-a1?game=POCKET&format=standard&set=A2
146,Rampardos Farfetch'd,22,0.05%,43 - 48 - 0,47.25%,/decks/rampardos-a2-farfetchd-a1?game=POCKET&format=standard&set=A2
147,Yanmega ex Greninja,22,0.05%,45 - 56 - 1,44.12%,/decks/yanmega-ex-a2-greninja-a1?game=POCKET&format=standard&set=A2
148,Starmie ex Greninja,22,0.05%,21 - 41 - 3,32.31%,/decks/starmie-ex-greninja-a1?game=POCKET&format=standard&set=A2
149,Magnezone Jolteon,21,0.05%,47 - 49 - 0,48.96%,/decks/magnezone-a2-jolteon-a1?game=POCKET&format=standard&set=A2
150,Magnezone Kangaskhan,21,0.05%,37 - 43 - 0,46.25%,/decks/magnezone-a2-kangaskhan-a1?game=POCKET&format=standard&set=A2
151,Pidgeot ex Mew ex,21,0.05%,38 - 51 - 1,42.22%,/decks/pidgeot-ex-mew-ex-a1a?game=POCKET&format=standard&set=A2
152,Moltres ex Centiskorch,21,0.05%,37 - 51 - 1,41.57%,/decks/moltres-ex-centiskorch-a1?game=POCKET&format=standard&set=A2
153,Mewtwo ex Magnezone,21,0.05%,34 - 50 - 1,40.00%,/decks/mewtwo-ex-a1-magnezone-a2?game=POCKET&format=standard&set=A2
154,Gyarados ex Manaphy,21,0.05%,33 - 53 - 0,38.37%,/decks/gyarados-ex-a1a-manaphy-a2?game=POCKET&format=standard&set=A2
155,Gardevoir Mewtwo ex,21,0.05%,39 - 64 - 0,37.86%,/decks/gardevoir-mewtwo-ex-a1?game=POCKET&format=standard&set=A2
156,Darkrai ex Kangaskhan,20,0.05%,61 - 40 - 2,59.22%,/decks/darkrai-ex-a2-kangaskhan-a1?game=POCKET&format=standard&set=A2
157,Articuno ex Magnezone,20,0.05%,40 - 40 - 1,49.38%,/decks/articuno-ex-a1-magnezone-a2?game=POCKET&format=standard&set=A2
158,Luxray Zebstrika,20,0.05%,45 - 48 - 0,48.39%,/decks/luxray-a2-zebstrika-a1?game=POCKET&format=standard&set=A2
159,Exeggutor ex Greninja,20,0.05%,36 - 44 - 0,45.00%,/decks/exeggutor-ex-greninja-a1?game=POCKET&format=standard&set=A2
160,Infernape ex Rapidash,20,0.05%,37 - 49 - 2,42.05%,/decks/infernape-ex-a2-rapidash-a1a?game=POCKET&format=standard&set=A2
161,Togekiss Giratina,20,0.05%,32 - 54 - 0,37.21%,/decks/togekiss-giratina-a2?game=POCKET&format=standard&set=A2
162,Gyarados ex Mew ex,20,0.05%,23 - 45 - 0,33.82%,/decks/gyarados-ex-mew-ex-a1a?game=POCKET&format=standard&set=A2
163,Gengar ex Dusknoir,20,0.05%,19 - 45 - 1,29.23%,/decks/gengar-ex-a1-dusknoir-a2?game=POCKET&format=standard&set=A2
164,Palkia ex Starmie ex,19,0.05%,44 - 44 - 1,49.44%,/decks/palkia-ex-a2-starmie-ex-a1?game=POCKET&format=standard&set=A2
165,Infernape ex Magnezone,19,0.05%,40 - 49 - 0,44.94%,/decks/infernape-ex-magnezone-a2?game=POCKET&format=standard&set=A2
166,Yanmega ex Lumineon,19,0.05%,29 - 50 - 0,36.71%,/decks/yanmega-ex-a2-lumineon-a1a?game=POCKET&format=standard&set=A2
167,Blastoise ex Manaphy,19,0.05%,24 - 42 - 0,36.36%,/decks/blastoise-ex-a1-manaphy-a2?game=POCKET&format=standard&set=A2
168,Gengar ex Mew ex,19,0.05%,24 - 49 - 1,32.43%,/decks/gengar-ex-a1-mew-ex-a1a?game=POCKET&format=standard&set=A2
169,Cresselia ex Gardevoir,19,0.05%,16 - 46 - 3,24.62%,/decks/cresselia-ex-p-a-gardevoir-a1?game=POCKET&format=standard&set=A2
170,Magnezone,18,0.04%,50 - 36 - 4,55.56%,/decks/magnezone-a2?game=POCKET&format=standard&set=A2
171,Gyarados ex Druddigon,18,0.04%,50 - 40 - 1,54.95%,/decks/gyarados-ex-druddigon-a1a?game=POCKET&format=standard&set=A2
172,Darkrai ex Lopunny,18,0.04%,55 - 45 - 1,54.46%,/decks/darkrai-ex-lopunny-a2?game=POCKET&format=standard&set=A2
173,Kabutops Rampardos,18,0.04%,49 - 50 - 0,49.49%,/decks/kabutops-a1-rampardos-a2?game=POCKET&format=standard&set=A2
174,Infernape ex Rapidash,18,0.04%,29 - 37 - 0,43.94%,/decks/infernape-ex-a2-rapidash-a1?game=POCKET&format=standard&set=A2
175,Mewtwo ex Mew ex,18,0.04%,20 - 41 - 1,32.26%,/decks/mewtwo-ex-a1-mew-ex-a1a?game=POCKET&format=standard&set=A2
176,Garchomp Spiritomb,17,0.04%,41 - 42 - 1,48.81%,/decks/garchomp-spiritomb-a2?game=POCKET&format=standard&set=A2
177,Gengar ex Mismagius ex,17,0.04%,31 - 43 - 0,41.89%,/decks/gengar-ex-a1-mismagius-ex-a2?game=POCKET&format=standard&set=A2
178,Wigglytuff ex Yanmega ex,17,0.04%,32 - 46 - 0,41.03%,/decks/wigglytuff-ex-a1-yanmega-ex-a2?game=POCKET&format=standard&set=A2
179,Greninja Palkia ex,17,0.04%,29 - 42 - 0,40.85%,/decks/greninja-a1-palkia-ex-a2?game=POCKET&format=standard&set=A2
180,Mew ex Darkrai ex,17,0.04%,21 - 36 - 0,36.84%,/decks/mew-ex-a1a-darkrai-ex-a2?game=POCKET&format=standard&set=A2
181,Mismagius ex Florges,17,0.04%,29 - 50 - 0,36.71%,/decks/mismagius-ex-a2-florges-a1a?game=POCKET&format=standard&set=A2
182,Mew ex Togekiss,17,0.04%,16 - 38 - 1,29.09%,/decks/mew-ex-a1a-togekiss-a2?game=POCKET&format=standard&set=A2
183,Zapdos ex Luxray,16,0.04%,40 - 45 - 2,45.98%,/decks/zapdos-ex-a1-luxray-a2?game=POCKET&format=standard&set=A2
184,Marowak ex Aerodactyl ex,16,0.04%,32 - 41 - 0,43.84%,/decks/marowak-ex-a1-aerodactyl-ex-a1a?game=POCKET&format=standard&set=A2
